avg_train_true,avg_train_pred,train_pred_std
0.08557051000000016,0.13076764,0.02520863
0.6744569409999999,0.58907044,0.01872445
-0.274412393,-0.5324415,0.022286424
-0.02781949000000017,0.02214956,0.06363927
-1.4112696719999998,-1.3798568,0.037195805
0.6823361719999997,0.68779576,0.020961704
0.98644339,0.9893185,0.025929358
0.9675961750000004,0.9469493,0.009401994
0.5479518130000001,0.6859177,0.027750744
-0.518455453,-0.23229249,0.02613646
-0.01841709800000002,0.1990949,0.020630473
-0.15721986799999987,-0.08540921,0.030755846
0.723792976,0.833018,0.022198511
1.0027815800000004,1.042218,0.033934306
0.702897553,0.6327809,0.017212717
0.24983470500000005,0.24736483,0.023052659
0.20824477099999994,0.6495898,0.023118306
1.163172976,1.2142875,0.025375195
-0.857898295,-0.61476356,0.017897902
4.254425601,4.5580883,0.04234038
-1.02186232,-0.9002663,0.012057208
0.38440710599999983,0.31109092,0.014487136
1.169691511,1.1538538,0.015136901
-0.1330898679999999,-0.08531174,0.020722428
0.4542020720000002,0.34424865,0.028298214
0.39530008400000005,0.4635949,0.06258695
1.0036593430000005,0.80563986,0.015058443
1.1258915110000005,1.1538538,0.015136901
-0.11989438699999999,-0.03942055,0.020681383
0.7241138880000001,0.690614,0.011287042
0.27043034399999977,0.15235272,0.018947972
0.9497058010000001,0.98045033,0.017583512
-0.04062987100000015,0.098710194,0.012649691
0.796423291,0.73964447,0.017306577
0.3320860309999998,0.37273884,0.019814389
0.20621034400000005,0.19687536,0.0080606835
1.296396413,1.0943696,0.024761494
1.120242999,0.87907207,0.038916603
0.4949288460000002,0.34724268,0.02063521
0.26366470500000005,0.19353391,0.018318955
-0.3243590150000002,-0.13200183,0.049926158
1.2508436399999996,1.4697384,0.015343371
1.3008155909999999,1.3868705,0.036581825
0.3768885009999998,0.32580623,0.0074661174
-0.7027130399999999,-0.7510276,0.12559435
1.5478761880000003,1.278323,0.06653168
0.21276603100000013,0.47378597,0.01603896
0.16868259499999994,0.35177785,0.04187272
-0.2082797900000002,-0.31913036,0.01202894
0.3035200840000001,0.15492825,0.014043549
0.2455445909999998,0.4260541,0.017801965
0.3426801319999999,0.33016312,0.07460483
0.4827808079999997,0.35743406,0.0107105905
0.20309269399999996,0.18036543,0.013135491
0.4939849049999999,0.5303487,0.022508187
0.3392591359999999,0.36083725,0.027971324
1.175191174,1.481118,0.012704832
0.9043772679999995,0.8502499,0.022174781
0.2799547050000002,0.24736483,0.023052659
0.24153894099999995,0.21508336,0.037170526
1.5627702259999998,1.3606756,0.013495736
1.1284098789999997,1.4940443,0.027354587
1.3299633899999999,1.5210831,0.017869836
0.21660717299999988,0.017834002,0.011302739
1.2980485060000004,1.3317528,0.052196782
-0.3686561450000001,-0.3332705,0.01901157
0.3732568970000001,0.36561164,0.014670676
1.4975672679999994,1.5248635,0.0052654394
0.6930015800000003,0.85988635,0.079487085
1.3782029300000003,1.4525559,0.021353455
0.509676296,0.41650438,0.021947553
1.1014961880000003,1.0320356,0.05491386
-0.08106411400000013,0.12105511,0.040845297
1.1952529990000003,1.0271394,0.023732176
-0.18904053799999998,-0.02492108,0.032662835
0.7973219569999997,0.48235622,0.026843444
0.2808668970000001,0.29628322,0.01440029
0.19880738300000012,0.106258534,0.0235678
0.30262463800000017,0.4975974,0.04949533
0.8752390239999999,0.99719715,0.04184221
0.9144608079999996,0.7655584,0.065542854
0.704587261,0.75471795,0.019616453
0.2352018130000002,0.27190256,0.03202278
-1.0053516469999997,-0.98592746,0.021587048
0.6935075529999999,0.53286356,0.043783356
0.3260675100000001,0.4098156,0.05935212
0.524400984,0.7600022,0.015021955
0.11876169899999978,0.151859,0.021871548
0.22984693300000014,0.44942778,0.021988042
-0.2188993039999998,-0.23177592,0.032715034
0.8555890240000001,0.87074214,0.017698865
1.157771511,1.1843922,0.019240629
1.9549447049999995,1.8675845,0.02714272
0.5407149130000001,0.7014096,0.044833276
-0.10446306700000019,0.1594479,0.017173925
0.35042884600000024,0.7141987,0.011186898
1.5558771339999995,1.5666609,0.063415244
1.0248931399999999,0.8507951,0.012191353
0.7450238880000001,0.8086842,0.009565401
0.6881711740000004,0.85468304,0.06502177
0.6088971729999999,0.7401985,0.018523183
0.7221302099999999,0.7153185,0.07035747
0.5973393300000002,0.80826366,0.020751385
0.5973393300000002,0.80826366,0.020751385
1.0566233900000002,0.7946978,0.020189665
0.2496968970000002,0.16540532,0.02285277
1.218545833,0.8948879,0.035008404
0.6638209850000001,0.42940575,0.0250067
-0.014772392999999884,-0.064083464,0.032075483
0.08112483699999995,-0.11794946,0.025405558
1.0340656129999999,1.1048937,0.025272526
