avg_train_true,avg_train_pred,train_pred_std
-1.103286639,-1.0880331,0.008169065
-0.19435297100000004,-0.16025156,0.015299862
-1.0485616889999998,-0.9626029,0.08958851
-0.3771466320000001,-0.54339886,0.020341873
-0.27040193000000007,-0.4494567,0.015855163
-0.4235283700000001,-0.33366603,0.013884996
-1.0223207809999997,-0.98605126,0.024070546
0.2082232930000001,0.155245,0.013650197
-0.13877977100000005,-0.2016871,0.024843056
-1.083985747,-1.0413852,0.014364528
-0.4048380209999999,-0.4453495,0.054156702
-0.5273598499999999,-0.4840045,0.023055788
-0.3947876589999999,-0.4518469,0.0115919905
-1.414823771,-1.259326,0.10058224
-0.36583775,-0.26092416,0.013631112
-0.8827334849999999,-0.8921045,0.022863325
0.9048893669999998,0.76297706,0.0062769465
-0.178428708,-0.2395411,0.010232647
-0.831579251,-0.8751028,0.025639951
-0.2947689360000001,-0.3151464,0.0043205414
-0.09236854699999997,-0.03636403,0.02804365
-0.48287151500000014,-0.4489239,0.012003692
-0.277317925,-0.16381903,0.014538199
-0.17515205200000006,-0.27962124,0.01433571
-0.9178333010000002,-0.9383464,0.031476974
-0.6844824680000002,-0.6106928,0.017631494
-0.06220995900000004,0.021206941,0.011095694
-0.7373349180000001,-0.78961575,0.0141458595
-0.7232457849999999,-0.8065281,0.049167592
-0.24442186799999988,-0.15603398,0.031731457
0.9025802089999999,0.79521483,0.061751403
-1.115181089,-1.2550592,0.024241896
-0.5345915620000001,-0.54535663,0.007620641
0.7795206459999999,0.6477474,0.024629043
0.5458069659999998,0.545448,0.00983049
-0.1831636590000001,-0.20633638,0.017983377
-0.7041320980000002,-0.75224006,0.06023238
-0.547755005,-0.5720593,0.059093107
-0.8457586819999998,-1.0043676,0.015357691
-0.859383043,-0.8367788,0.004968436
-0.360120035,-0.42078272,0.007880299
1.1149365590000002,0.98456633,0.039253928
-0.9793866080000002,-0.9779955,0.023497455
-0.30165279499999986,-0.30183417,0.010448264
-0.34154926,-0.52739537,0.02611228
-0.950867532,-0.9944264,0.012549012
-0.36178570100000007,-0.41807842,0.021184094
-0.13078318500000008,-0.1349548,0.02889156
0.09364807600000002,0.13291988,0.04064147
-0.7733050439999999,-0.71670645,0.025877273
-0.42403119499999997,-0.37040016,0.0150552625
0.21455319599999978,0.24011025,0.047560472
0.9155598949999997,0.88591444,0.056536824
0.41747372699999996,0.33976826,0.049669992
0.8923706209999998,0.9859578,0.022329796
-0.8050678019999999,-0.8311615,0.0077784015
-1.0621971709999998,-1.0072812,0.013123396
-0.20485495399999998,-0.1788402,0.015226152
-0.383954825,-0.15627852,0.037719306
-0.3919324680000001,-0.39116964,0.02136028
-0.3930838699999999,-0.3441637,0.025719564
-0.16969427599999998,-0.28243074,0.09476229
-0.37998415099999994,-0.3069521,0.0038695296
0.2079263189999998,0.336662,0.039388213
0.7676232179999998,0.75379753,0.035426907
-1.031361616,-1.0438168,0.009668483
-0.905672947,-0.8845955,0.014423233
-0.697748721,-0.7786374,0.016696779
0.021516488000000056,0.06993711,0.031501073
-0.9941844060000002,-0.9797661,0.03406643
-0.572967834,-0.58525133,0.050641228
-0.22793629600000004,-0.3633384,0.03370911
0.7577445819999999,0.8155432,0.011072608
-0.11548874700000011,-0.26660594,0.09357564
-1.5609183269999998,-1.2577704,0.01712742
-0.9424238240000002,-0.98471993,0.022586035
0.4701585359999999,0.5117867,0.008092663
-0.796111689,-0.8526616,0.03735813
-1.070576567,-1.043335,0.010299875
0.9595278629999999,0.9892174,0.037511963
