avg_train_true,avg_train_pred,train_pred_std,avg_test_true,avg_test_pred,test_pred_std
-4.037394775000001,-3.961514,0.04318613,0.8340850670000002,1.0952648,0.023500662
1.937982244,1.6437765,0.072592095,-0.773439518,-0.4698142,0.05235989
-1.2984072769999997,-1.2680049,0.07194155,-2.6644456460000003,-2.614904,0.10175707
-1.3574094460000001,-1.4338491,0.09563815,1.1935470859999995,1.0901102,0.018207956
-0.9583104260000004,-0.9576294,0.050998412,-2.860577648,-2.915431,0.040362455
-3.573426267,-3.4031823,0.045778032,-3.399752307,-3.4635396,0.027017664
-1.0795097240000004,-1.2243103,0.10848127,0.7836222489999995,0.70268893,0.080873065
-1.8088699509999997,-1.6180861,0.13186055,-1.6677100879999998,-1.6262919,0.021459052
-0.835094196,-1.0964547,0.022053106,-2.2136895020000003,-2.2328694,0.06487856
-3.138471733,-3.101408,0.055269375,-3.4626288900000004,-3.2735374,0.02376409
0.5013842400000001,0.58627397,0.080920294,-0.3390623370000001,-0.62145054,0.047434688
-1.7698716969999997,-1.6412863,0.03516796,-0.5938638090000001,-0.766971,0.012212296
-2.5695034829999996,-2.5282311,0.077484064,0.8483595169999996,0.5657158,0.025004515
-1.2312008769999998,-1.1236567,0.016973972,-3.742513628,-3.165815,0.05280919
1.1218171979999993,1.2015462,0.06748464,0.8666617140000001,0.9011307,0.050134182
-0.666068203,-0.95575505,0.036329105,1.2493673730000001,1.324528,0.029307866
-2.8048914740000006,-2.961387,0.017679904,0.870654365,0.85581625,0.057722222
-1.9531885580000004,-2.1378665,0.054283872,-2.040371207,-1.821689,0.11566915
-3.2858683750000006,-3.2491193,0.092444114,-2.2138569299999995,-2.2273045,0.06631359
-1.968584833,-1.8904593,0.03548614,0.5762567929999998,0.50580496,0.055029895
0.6779348540000001,0.8975543,0.07626991,-0.619699589,-0.5416231,0.08213985
-1.755046841,-1.6506989,0.071059406,-3.5504944919999994,-3.5177383,0.04791643
1.1529771240000002,1.1512581,0.08120263,-2.1646349819999995,-2.8885303,0.04845629
-2.4534462320000006,-2.5387394,0.049168546,-3.0235309860000004,-2.8883808,0.048689555
-3.524574477999999,-3.528876,0.02467138,1.3507262679999996,1.5410581,0.041074507
-1.7826680109999997,-1.8030388,0.066316426,-1.4502727340000001,-1.4102169,0.039340105
2.030342262000001,2.0898564,0.04396244,-2.0354398799999998,-2.1170309,0.06520143
-3.7174582789999997,-3.6697536,0.023977006,0.3412896820000002,0.436316,0.049573764
0.9857484579999998,0.9443018,0.050824933,-0.9710328609999996,-0.9710228,0.042011093
-1.5908891189999999,-1.5951034,0.035028804,-1.2622300690000003,-1.266247,0.03943543
-1.848948724,-1.9345596,0.04433562,0.3682765400000001,0.29798844,0.025336217
-2.2090652890000007,-2.462141,0.043454584,1.3650743839999997,1.8205774,0.07853984
-2.7335216349999993,-2.4647634,0.056816507,-0.8387502119999999,-0.8299669,0.0784964
-1.194456981,-1.2126486,0.043372706,0.6637137979999999,0.7343196,0.12886003
-0.5950247300000001,-0.46996212,0.020420033,-2.1996724669999996,-2.268324,0.035085224
2.53159145,2.3344772,0.058280066,-2.1458334169999995,-2.1821022,0.031662773
0.8579550009999997,0.8242915,0.05832174,-1.9889952879999995,-2.2098603,0.122858316
-1.6088856370000002,-1.5929164,0.02061497,-1.0780030260000004,-1.073177,0.019993166
1.4324617559999993,1.4389653,0.037080206,-0.7285158599999999,-0.5797838,0.052716587
0.5072850220000005,0.44503602,0.027517395,0.37964428600000044,0.43624085,0.028217195
0.5700071979999999,0.52744806,0.0433363,-1.741998835,-1.6936376,0.06951217
0.3007003580000003,0.3682961,0.012078383,-0.46034957300000023,-0.71912783,0.046112902
-0.030263511000000243,-0.0580989,0.08754089,1.2390694390000008,0.88659716,0.04128422
-2.125182137,-2.589804,0.08168764,-2.4083271880000003,-2.4184427,0.05065655
-3.5299395329999994,-3.3457913,0.026705213,-3.3407513470000003,-3.4088569,0.018905526
-3.3338073489999998,-3.4515991,0.062935725,-3.9068075020000004,-3.9512131,0.046052746
-1.1493922879999998,-1.1211388,0.050661556,2.1983556710000003,2.177657,0.04283954
1.561999162,1.4052343,0.07902405,-2.550977349,-2.5491781,0.08678424
-0.7766610109999998,-0.74962413,0.03931258,-0.9063493539999998,-0.6706843,0.008170665
2.0581096949999993,1.9834967,0.015277045,-1.946490985,-1.7476737,0.058092188
-1.9226569749999993,-1.9798276,0.026832566,1.3449974940000005,1.6629245,0.04099776
-2.7316812950000005,-2.8198915,0.06784429,0.3359917829999999,0.3181197,0.030036936
1.4030386149999998,1.5115788,0.022564089,0.2657544989999998,0.2483923,0.055873513
0.45372944400000037,0.32279903,0.02009168,-2.8272023270000006,-2.6787758,0.047396593
-1.890524262,-1.814743,0.02351487,1.6625054259999996,1.5102193,0.040929075
-3.1563538979999994,-3.226152,0.04343606,-2.3258437550000006,-2.187995,0.015985165
-0.992204804,-1.034242,0.06676668,1.2699643519999995,1.16378,0.021493206
-0.28832043900000004,-0.36462554,0.025817314,-2.5846834829999996,-2.5381885,0.06336842
-3.0918412569999996,-3.041547,0.033591595,-2.0739666350000006,-1.8576813,0.06963706
-1.6386335020000007,-1.5829003,0.027868355,-2.1532063249999998,-2.1585495,0.04904653
-2.2730582969999995,-2.4702058,0.028052516,-0.3397798390000002,-0.48925352,0.061402813
-0.4729948290000001,-0.45787907,0.057463277,-1.4606138810000002,-1.6262919,0.021459052
-2.2855261049999998,-2.0256066,0.09855599,-1.5278706970000002,-1.6199869,0.044220373
-3.8593057019999994,-3.8556945,0.020502985,-1.0287999660000005,-1.1750467,0.03533637
0.5773589970000002,0.7562029,0.051130846,-0.7682934279999998,-0.6110624,0.023708934
-3.570794265000001,-3.3775039,0.03546076,-1.492482733,-1.5319011,0.06632254
-0.6610180369999998,-0.6072744,0.021303162,-1.77222457,-1.7278421,0.04432589
