No.1, R2: 0.769290, MSE: 0.072302, MAE: 0.217644, EV: 0.771316 {'colsample_bytree': 0.6907437355834193, 'gamma': 0.3193330123971062, 'learning_rate': 0.4814492719647917, 'max_depth': 7.0, 'min_child_weight': 1.4367860506744634, 'n_estimators': 197.0, 'subsample': 0.7213484958139667}
No.2, R2: 0.641471, MSE: 0.112359, MAE: 0.282606, EV: 0.677301 {'colsample_bytree': 0.6964006644471245, 'gamma': 0.3032236229220786, 'learning_rate': 0.47219766815013453, 'max_depth': 6.0, 'min_child_weight': 1.4391054374119099, 'n_estimators': 196.0, 'subsample': 0.7416523093689121}
No.3, R2: 0.741426, MSE: 0.081034, MAE: 0.222207, EV: 0.743764 {'colsample_bytree': 0.6913843660157828, 'gamma': 0.3099661846501327, 'learning_rate': 0.4889130973705022, 'max_depth': 6.0, 'min_child_weight': 1.4210997712376316, 'n_estimators': 189.0, 'subsample': 0.7217236702785254}
No.4, R2: 0.739757, MSE: 0.081557, MAE: 0.233751, EV: 0.755881 {'colsample_bytree': 0.6940831029284747, 'gamma': 0.30206252482063095, 'learning_rate': 0.47241290961479465, 'max_depth': 7.0, 'min_child_weight': 1.428581842850066, 'n_estimators': 199.0, 'subsample': 0.749375411820854}
No.5, R2: 0.615444, MSE: 0.120516, MAE: 0.281697, EV: 0.631179 {'colsample_bytree': 0.6876922791830964, 'gamma': 0.3233612776421054, 'learning_rate': 0.48238565980654174, 'max_depth': 8.0, 'min_child_weight': 1.4239394424930663, 'n_estimators': 192.0, 'subsample': 0.7330280354260713}
No.6, R2: 0.830402, MSE: 0.053150, MAE: 0.198170, EV: 0.830896 {'colsample_bytree': 0.6953949974641032, 'gamma': 0.326909790032138, 'learning_rate': 0.48307250023024123, 'max_depth': 7.0, 'min_child_weight': 1.4368417141694763, 'n_estimators': 194.0, 'subsample': 0.7273712186216849}
No.7, R2: 0.773632, MSE: 0.070941, MAE: 0.225783, EV: 0.774374 {'colsample_bytree': 0.7004135707315211, 'gamma': 0.3296458253040434, 'learning_rate': 0.4805195068912721, 'max_depth': 7.0, 'min_child_weight': 1.43260756611452, 'n_estimators': 186.0, 'subsample': 0.7359825161517489}
No.8, R2: 0.716130, MSE: 0.088962, MAE: 0.226713, EV: 0.725332 {'colsample_bytree': 0.6855020711960818, 'gamma': 0.32063310573902143, 'learning_rate': 0.4829513012425746, 'max_depth': 7.0, 'min_child_weight': 1.4398347336814983, 'n_estimators': 197.0, 'subsample': 0.7395937270480806}
No.9, R2: 0.774894, MSE: 0.070546, MAE: 0.212244, EV: 0.777228 {'colsample_bytree': 0.7001725686148529, 'gamma': 0.3126719469841786, 'learning_rate': 0.4710501168365812, 'max_depth': 6.0, 'min_child_weight': 1.4343166366387226, 'n_estimators': 194.0, 'subsample': 0.7251173007730904}
No.10, R2: 0.634400, MSE: 0.114575, MAE: 0.285291, EV: 0.660231 {'colsample_bytree': 0.6969146278287989, 'gamma': 0.31378309917172564, 'learning_rate': 0.4702878361985673, 'max_depth': 6.0, 'min_child_weight': 1.4332949298781954, 'n_estimators': 197.0, 'subsample': 0.7482463774862225}
No.11, R2: 0.756540, MSE: 0.076298, MAE: 0.208950, EV: 0.768748 {'colsample_bytree': 0.7012871812036204, 'gamma': 0.30717147122886035, 'learning_rate': 0.47811654543599164, 'max_depth': 7.0, 'min_child_weight': 1.4212247409077998, 'n_estimators': 188.0, 'subsample': 0.7466052696514053}
No.12, R2: 0.795153, MSE: 0.064197, MAE: 0.204627, EV: 0.795214 {'colsample_bytree': 0.6918987962475722, 'gamma': 0.31984554202711746, 'learning_rate': 0.4741972883973124, 'max_depth': 7.0, 'min_child_weight': 1.421111152831571, 'n_estimators': 194.0, 'subsample': 0.7261904059805718}
No.13, R2: 0.781418, MSE: 0.068501, MAE: 0.217629, EV: 0.783684 {'colsample_bytree': 0.6955632217225914, 'gamma': 0.3102587227328706, 'learning_rate': 0.47397226423710764, 'max_depth': 7.0, 'min_child_weight': 1.4231163366783905, 'n_estimators': 181.0, 'subsample': 0.746486412166614}
No.14, R2: 0.708694, MSE: 0.091292, MAE: 0.259829, EV: 0.726949 {'colsample_bytree': 0.6997987210161495, 'gamma': 0.3247330573049188, 'learning_rate': 0.4734877337744742, 'max_depth': 6.0, 'min_child_weight': 1.4201387826031657, 'n_estimators': 189.0, 'subsample': 0.7487015240600176}
No.15, R2: 0.771717, MSE: 0.071542, MAE: 0.214526, EV: 0.776990 {'colsample_bytree': 0.698874520890071, 'gamma': 0.3080412473856033, 'learning_rate': 0.4726939594391, 'max_depth': 7.0, 'min_child_weight': 1.4374323547209458, 'n_estimators': 195.0, 'subsample': 0.739108905720364}
No.16, R2: 0.669740, MSE: 0.103500, MAE: 0.278887, EV: 0.709075 {'colsample_bytree': 0.6936681225631284, 'gamma': 0.31869202665198504, 'learning_rate': 0.4889619879101314, 'max_depth': 6.0, 'min_child_weight': 1.4337768645871596, 'n_estimators': 181.0, 'subsample': 0.7474025229896796}
No.17, R2: 0.638377, MSE: 0.113329, MAE: 0.262678, EV: 0.647871 {'colsample_bytree': 0.700078774819939, 'gamma': 0.30443285787789826, 'learning_rate': 0.48212312706246324, 'max_depth': 8.0, 'min_child_weight': 1.4317277998891789, 'n_estimators': 182.0, 'subsample': 0.7316945540998017}
No.18, R2: 0.727719, MSE: 0.085330, MAE: 0.235121, EV: 0.751563 {'colsample_bytree': 0.6960634763143254, 'gamma': 0.31751113703143846, 'learning_rate': 0.48246531633815526, 'max_depth': 7.0, 'min_child_weight': 1.4284772752082682, 'n_estimators': 195.0, 'subsample': 0.7497048165106832}
No.19, R2: 0.781153, MSE: 0.068584, MAE: 0.209382, EV: 0.781852 {'colsample_bytree': 0.6940896043798399, 'gamma': 0.32456154883951616, 'learning_rate': 0.4887579111886387, 'max_depth': 7.0, 'min_child_weight': 1.4241047559573097, 'n_estimators': 182.0, 'subsample': 0.7403160079409555}
No.20, R2: 0.678948, MSE: 0.100614, MAE: 0.274453, EV: 0.680239 {'colsample_bytree': 0.702765328297031, 'gamma': 0.30232823486419264, 'learning_rate': 0.48015350644159976, 'max_depth': 7.0, 'min_child_weight': 1.4229737106664633, 'n_estimators': 189.0, 'subsample': 0.7427042734530996}
No.21, R2: 0.783456, MSE: 0.067862, MAE: 0.200717, EV: 0.783839 {'colsample_bytree': 0.6906958421294602, 'gamma': 0.32976636967705303, 'learning_rate': 0.4851279435742568, 'max_depth': 8.0, 'min_child_weight': 1.4263643494637537, 'n_estimators': 192.0, 'subsample': 0.7268175016254338}
No.22, R2: 0.799105, MSE: 0.062958, MAE: 0.202104, EV: 0.799154 {'colsample_bytree': 0.6881828905049054, 'gamma': 0.3270362543748517, 'learning_rate': 0.47713888322854575, 'max_depth': 8.0, 'min_child_weight': 1.4359979535724896, 'n_estimators': 192.0, 'subsample': 0.7284260102231234}
No.23, R2: 0.798972, MSE: 0.063000, MAE: 0.202607, EV: 0.799204 {'colsample_bytree': 0.6882451185702735, 'gamma': 0.3277938340962162, 'learning_rate': 0.47740850833382653, 'max_depth': 8.0, 'min_child_weight': 1.4358254195293751, 'n_estimators': 186.0, 'subsample': 0.7292810680826365}
No.24, R2: 0.736646, MSE: 0.082532, MAE: 0.230701, EV: 0.748182 {'colsample_bytree': 0.6857854507780168, 'gamma': 0.32746053089945615, 'learning_rate': 0.48580403898472563, 'max_depth': 8.0, 'min_child_weight': 1.4379245805811038, 'n_estimators': 192.0, 'subsample': 0.7233822831009832}
No.25, R2: 0.783261, MSE: 0.067924, MAE: 0.208749, EV: 0.783316 {'colsample_bytree': 0.688007929508391, 'gamma': 0.3220195740636238, 'learning_rate': 0.4768013686757153, 'max_depth': 8.0, 'min_child_weight': 1.4351201581185042, 'n_estimators': 199.0, 'subsample': 0.7292521316948001}
No.26, R2: 0.569788, MSE: 0.134824, MAE: 0.299338, EV: 0.597516 {'colsample_bytree': 0.6976969274615256, 'gamma': 0.3267398784310662, 'learning_rate': 0.4787048289724514, 'max_depth': 8.0, 'min_child_weight': 1.4310223373102557, 'n_estimators': 186.0, 'subsample': 0.7357210367805637}
No.27, R2: 0.784947, MSE: 0.067395, MAE: 0.201083, EV: 0.786094 {'colsample_bytree': 0.7038112482860478, 'gamma': 0.31636180965228333, 'learning_rate': 0.4759238082283913, 'max_depth': 8.0, 'min_child_weight': 1.4388119732996734, 'n_estimators': 191.0, 'subsample': 0.729119356154575}
No.28, R2: 0.568538, MSE: 0.135215, MAE: 0.296218, EV: 0.583483 {'colsample_bytree': 0.6892811185171047, 'gamma': 0.32985293877203037, 'learning_rate': 0.47894221503039747, 'max_depth': 8.0, 'min_child_weight': 1.4295680820981003, 'n_estimators': 200.0, 'subsample': 0.7326386078996071}
No.29, R2: 0.761186, MSE: 0.074842, MAE: 0.216863, EV: 0.761723 {'colsample_bytree': 0.6923647445117445, 'gamma': 0.32580777839603203, 'learning_rate': 0.4844855965153242, 'max_depth': 8.0, 'min_child_weight': 1.4365511433580418, 'n_estimators': 184.0, 'subsample': 0.7203208163832635}
