No.1, R2: 0.669736, MSE: 0.103501, MAE: 0.267963, EV: 0.690855 {'colsample_bytree': 0.695058113735592, 'gamma': 0.3290612112817148, 'learning_rate': 0.4872334032186292, 'max_depth': 6.0, 'min_child_weight': 1.4315450723766994, 'n_estimators': 182.0, 'subsample': 0.7473235155427287}
No.2, R2: 0.651309, MSE: 0.109276, MAE: 0.262646, EV: 0.673393 {'colsample_bytree': 0.6985477700195433, 'gamma': 0.3085062940914391, 'learning_rate': 0.4800332575655269, 'max_depth': 8.0, 'min_child_weight': 1.4368691094933836, 'n_estimators': 199.0, 'subsample': 0.7405905760111235}
No.3, R2: 0.511348, MSE: 0.153138, MAE: 0.312264, EV: 0.526538 {'colsample_bytree': 0.6922568487111573, 'gamma': 0.30005969476720323, 'learning_rate': 0.48893301019493635, 'max_depth': 8.0, 'min_child_weight': 1.4255907341753336, 'n_estimators': 184.0, 'subsample': 0.7323616562331906}
No.4, R2: 0.755967, MSE: 0.076477, MAE: 0.235392, EV: 0.756041 {'colsample_bytree': 0.7036311793858077, 'gamma': 0.30054527808664977, 'learning_rate': 0.4834409755769519, 'max_depth': 7.0, 'min_child_weight': 1.4378636783222751, 'n_estimators': 185.0, 'subsample': 0.7429377363871936}
No.5, R2: 0.703701, MSE: 0.092857, MAE: 0.240487, EV: 0.707205 {'colsample_bytree': 0.6896054006249023, 'gamma': 0.3237364335966896, 'learning_rate': 0.4815286096729718, 'max_depth': 7.0, 'min_child_weight': 1.4289234714741956, 'n_estimators': 187.0, 'subsample': 0.7325590751486197}
No.6, R2: 0.767284, MSE: 0.072931, MAE: 0.220739, EV: 0.767301 {'colsample_bytree': 0.6975345971359689, 'gamma': 0.31505386157759246, 'learning_rate': 0.48613075459879107, 'max_depth': 7.0, 'min_child_weight': 1.432968755255873, 'n_estimators': 193.0, 'subsample': 0.7440697189405647}
No.7, R2: 0.650400, MSE: 0.109561, MAE: 0.263251, EV: 0.673621 {'colsample_bytree': 0.6976888934589047, 'gamma': 0.3098740105550743, 'learning_rate': 0.4807140726660526, 'max_depth': 8.0, 'min_child_weight': 1.4309303421459667, 'n_estimators': 192.0, 'subsample': 0.7408126346059548}
No.8, R2: 0.674931, MSE: 0.101873, MAE: 0.255993, EV: 0.690108 {'colsample_bytree': 0.6958844803919759, 'gamma': 0.3025593599615554, 'learning_rate': 0.4765230022966567, 'max_depth': 7.0, 'min_child_weight': 1.4318904104664296, 'n_estimators': 188.0, 'subsample': 0.7301416071294231}
No.9, R2: 0.774434, MSE: 0.070690, MAE: 0.213727, EV: 0.790282 {'colsample_bytree': 0.7021068612305852, 'gamma': 0.3040356983831952, 'learning_rate': 0.4722823162366162, 'max_depth': 7.0, 'min_child_weight': 1.4222504678059584, 'n_estimators': 183.0, 'subsample': 0.7361325209209435}
No.10, R2: 0.724088, MSE: 0.086468, MAE: 0.223383, EV: 0.725319 {'colsample_bytree': 0.6924116921435555, 'gamma': 0.32295857864504757, 'learning_rate': 0.48138353526302335, 'max_depth': 7.0, 'min_child_weight': 1.4281010634818159, 'n_estimators': 186.0, 'subsample': 0.7462948471812092}
No.11, R2: 0.827296, MSE: 0.054124, MAE: 0.190387, EV: 0.828099 {'colsample_bytree': 0.6939582978752044, 'gamma': 0.32603909429454325, 'learning_rate': 0.4868381702920533, 'max_depth': 8.0, 'min_child_weight': 1.4265834496602834, 'n_estimators': 192.0, 'subsample': 0.7267206436452363}
