No.1, R2: 0.609141, MSE: 0.122491, MAE: 0.281186, EV: 0.650940 {'colsample_bytree': 0.6938041180549811, 'gamma': 0.30933995474965725, 'learning_rate': 0.483150061143329, 'max_depth': 7.0, 'min_child_weight': 1.437293304370257, 'n_estimators': 197.0, 'subsample': 0.7263134715931019}
No.2, R2: 0.585720, MSE: 0.129831, MAE: 0.301573, EV: 0.603076 {'colsample_bytree': 0.6970590846862366, 'gamma': 0.32989475382242783, 'learning_rate': 0.4789541446575009, 'max_depth': 8.0, 'min_child_weight': 1.439669964625814, 'n_estimators': 198.0, 'subsample': 0.7342747487598409}
No.3, R2: 0.794826, MSE: 0.064299, MAE: 0.218534, EV: 0.808849 {'colsample_bytree': 0.6909270165882933, 'gamma': 0.3227086728379133, 'learning_rate': 0.4724850746255976, 'max_depth': 7.0, 'min_child_weight': 1.4270802690367632, 'n_estimators': 195.0, 'subsample': 0.7331424328114027}
No.4, R2: 0.751689, MSE: 0.077818, MAE: 0.236250, EV: 0.751965 {'colsample_bytree': 0.703537127594111, 'gamma': 0.30807340112753023, 'learning_rate': 0.48560806693447, 'max_depth': 7.0, 'min_child_weight': 1.4219518774505355, 'n_estimators': 184.0, 'subsample': 0.7450967243758606}
No.5, R2: 0.609994, MSE: 0.122224, MAE: 0.280926, EV: 0.619973 {'colsample_bytree': 0.6907499958509159, 'gamma': 0.31751388885873943, 'learning_rate': 0.48238329677391434, 'max_depth': 7.0, 'min_child_weight': 1.439986914226436, 'n_estimators': 195.0, 'subsample': 0.7279854202208179}
No.6, R2: 0.505767, MSE: 0.154887, MAE: 0.313225, EV: 0.524539 {'colsample_bytree': 0.6922669573951495, 'gamma': 0.3148384845024109, 'learning_rate': 0.47814795177209823, 'max_depth': 8.0, 'min_child_weight': 1.4213558506663233, 'n_estimators': 191.0, 'subsample': 0.7354015301991542}
No.7, R2: 0.747234, MSE: 0.079214, MAE: 0.231235, EV: 0.750595 {'colsample_bytree': 0.6966363843190513, 'gamma': 0.32882461936134283, 'learning_rate': 0.4786606785219687, 'max_depth': 7.0, 'min_child_weight': 1.4321275423307591, 'n_estimators': 182.0, 'subsample': 0.7450415607981707}
No.8, R2: 0.688549, MSE: 0.097605, MAE: 0.270708, EV: 0.706910 {'colsample_bytree': 0.6903070967853675, 'gamma': 0.3151582534424264, 'learning_rate': 0.48546535744910807, 'max_depth': 8.0, 'min_child_weight': 1.43071969373094, 'n_estimators': 191.0, 'subsample': 0.7373833766313038}
No.9, R2: 0.677999, MSE: 0.100912, MAE: 0.273944, EV: 0.691463 {'colsample_bytree': 0.696115299942643, 'gamma': 0.31123095854607846, 'learning_rate': 0.4748725615850867, 'max_depth': 7.0, 'min_child_weight': 1.4240511992549292, 'n_estimators': 191.0, 'subsample': 0.7484049435580826}
No.10, R2: 0.725570, MSE: 0.086003, MAE: 0.261998, EV: 0.749178 {'colsample_bytree': 0.6945536302350738, 'gamma': 0.31399315027550895, 'learning_rate': 0.4830525550955851, 'max_depth': 7.0, 'min_child_weight': 1.4373802231955521, 'n_estimators': 181.0, 'subsample': 0.7481706736589674}
No.11, R2: 0.775180, MSE: 0.070456, MAE: 0.209948, EV: 0.777024 {'colsample_bytree': 0.6928410167097842, 'gamma': 0.32261033002353445, 'learning_rate': 0.4828948919332123, 'max_depth': 7.0, 'min_child_weight': 1.4279961353832975, 'n_estimators': 182.0, 'subsample': 0.7292721012497895}
No.12, R2: 0.763270, MSE: 0.074189, MAE: 0.233184, EV: 0.763284 {'colsample_bytree': 0.6926485393254606, 'gamma': 0.31619974976579013, 'learning_rate': 0.4840640083221407, 'max_depth': 7.0, 'min_child_weight': 1.4349422645146535, 'n_estimators': 193.0, 'subsample': 0.7253492041965246}
