No.1, R2: 0.810812, MSE: 0.059290, MAE: 0.201290, EV: 0.811190 {'colsample_bytree': 0.6956329248567855, 'gamma': 0.3290146198293205, 'learning_rate': 0.47418447356607984, 'max_depth': 7.0, 'min_child_weight': 1.4235494225721876, 'n_estimators': 186.0, 'subsample': 0.7282728769559618}
No.2, R2: 0.799092, MSE: 0.062962, MAE: 0.201822, EV: 0.799098 {'colsample_bytree': 0.6933831680001403, 'gamma': 0.3267494453190195, 'learning_rate': 0.47678527581492675, 'max_depth': 7.0, 'min_child_weight': 1.432149041155168, 'n_estimators': 180.0, 'subsample': 0.7284241137410934}
No.3, R2: 0.756648, MSE: 0.076264, MAE: 0.237210, EV: 0.759083 {'colsample_bytree': 0.6870541150820474, 'gamma': 0.32711948399823426, 'learning_rate': 0.47728074083497635, 'max_depth': 7.0, 'min_child_weight': 1.4308150074781223, 'n_estimators': 195.0, 'subsample': 0.7329368576025789}
No.4, R2: 0.708855, MSE: 0.091242, MAE: 0.255621, EV: 0.712363 {'colsample_bytree': 0.7024401039235538, 'gamma': 0.32484574790670384, 'learning_rate': 0.47570888624371443, 'max_depth': 8.0, 'min_child_weight': 1.4234497012769558, 'n_estimators': 186.0, 'subsample': 0.7413728638124377}
No.5, R2: 0.704065, MSE: 0.092743, MAE: 0.237475, EV: 0.704209 {'colsample_bytree': 0.6992357564639112, 'gamma': 0.3034338802339511, 'learning_rate': 0.4734684220200175, 'max_depth': 7.0, 'min_child_weight': 1.4274984469551883, 'n_estimators': 188.0, 'subsample': 0.7446284359453809}
No.6, R2: 0.777797, MSE: 0.069636, MAE: 0.222509, EV: 0.778800 {'colsample_bytree': 0.7049573434534528, 'gamma': 0.3048617784261886, 'learning_rate': 0.478608588447405, 'max_depth': 7.0, 'min_child_weight': 1.4387401770521382, 'n_estimators': 199.0, 'subsample': 0.7245516618130471}
No.7, R2: 0.690411, MSE: 0.097022, MAE: 0.249650, EV: 0.709080 {'colsample_bytree': 0.6881865835555903, 'gamma': 0.3189983524750784, 'learning_rate': 0.48670900330849326, 'max_depth': 7.0, 'min_child_weight': 1.4281926328533585, 'n_estimators': 182.0, 'subsample': 0.7277566042592977}
No.8, R2: 0.729229, MSE: 0.084857, MAE: 0.240462, EV: 0.732373 {'colsample_bytree': 0.6995748463093111, 'gamma': 0.31531979682856154, 'learning_rate': 0.47322495299565265, 'max_depth': 7.0, 'min_child_weight': 1.438420645835846, 'n_estimators': 194.0, 'subsample': 0.72195255658541}
No.9, R2: 0.757874, MSE: 0.075880, MAE: 0.228157, EV: 0.761106 {'colsample_bytree': 0.6957215006291125, 'gamma': 0.3032327520086777, 'learning_rate': 0.48289617739657875, 'max_depth': 7.0, 'min_child_weight': 1.4382769045401202, 'n_estimators': 195.0, 'subsample': 0.7486250276025043}
No.10, R2: 0.611876, MSE: 0.121634, MAE: 0.291257, EV: 0.643384 {'colsample_bytree': 0.7012221342056149, 'gamma': 0.3073770828946208, 'learning_rate': 0.4890098757384895, 'max_depth': 8.0, 'min_child_weight': 1.4359592655097861, 'n_estimators': 180.0, 'subsample': 0.7347190526281645}
No.11, R2: 0.776892, MSE: 0.069920, MAE: 0.226011, EV: 0.778745 {'colsample_bytree': 0.6987033074795606, 'gamma': 0.320441090072209, 'learning_rate': 0.47305948214717997, 'max_depth': 7.0, 'min_child_weight': 1.4266329473796227, 'n_estimators': 188.0, 'subsample': 0.73101083927202}
No.12, R2: 0.804570, MSE: 0.061246, MAE: 0.199729, EV: 0.805311 {'colsample_bytree': 0.6885806949448832, 'gamma': 0.315491331602747, 'learning_rate': 0.4769765152943063, 'max_depth': 7.0, 'min_child_weight': 1.4291586885578347, 'n_estimators': 188.0, 'subsample': 0.7209072784521829}
No.13, R2: 0.716767, MSE: 0.088762, MAE: 0.244853, EV: 0.735261 {'colsample_bytree': 0.6876864286129578, 'gamma': 0.32156818858775615, 'learning_rate': 0.4813790956895327, 'max_depth': 6.0, 'min_child_weight': 1.4212147017687806, 'n_estimators': 187.0, 'subsample': 0.7225567560219316}
No.14, R2: 0.701394, MSE: 0.093580, MAE: 0.260787, EV: 0.729746 {'colsample_bytree': 0.6946677228248547, 'gamma': 0.30655483088905183, 'learning_rate': 0.4899919369119029, 'max_depth': 6.0, 'min_child_weight': 1.423160610766245, 'n_estimators': 180.0, 'subsample': 0.7350301930853882}
No.15, R2: 0.655783, MSE: 0.107874, MAE: 0.262351, EV: 0.658866 {'colsample_bytree': 0.6902286776212282, 'gamma': 0.31756302514531526, 'learning_rate': 0.47521952125015476, 'max_depth': 7.0, 'min_child_weight': 1.4277001687224165, 'n_estimators': 183.0, 'subsample': 0.7244612526321249}
No.16, R2: 0.754585, MSE: 0.076910, MAE: 0.216035, EV: 0.760644 {'colsample_bytree': 0.691958524611707, 'gamma': 0.32936774875466485, 'learning_rate': 0.4872853544545071, 'max_depth': 7.0, 'min_child_weight': 1.4344051773549156, 'n_estimators': 198.0, 'subsample': 0.746834093860264}
No.17, R2: 0.762452, MSE: 0.074445, MAE: 0.215525, EV: 0.765176 {'colsample_bytree': 0.6988366129582982, 'gamma': 0.30000628104777266, 'learning_rate': 0.4714680988134365, 'max_depth': 7.0, 'min_child_weight': 1.426233816712422, 'n_estimators': 200.0, 'subsample': 0.7405281072621143}
No.18, R2: 0.742062, MSE: 0.080835, MAE: 0.224924, EV: 0.743744 {'colsample_bytree': 0.6900120822797235, 'gamma': 0.31366514709306065, 'learning_rate': 0.48286464814936436, 'max_depth': 8.0, 'min_child_weight': 1.4292131495788087, 'n_estimators': 183.0, 'subsample': 0.7214273997566034}
No.19, R2: 0.671328, MSE: 0.103002, MAE: 0.272507, EV: 0.700314 {'colsample_bytree': 0.6973945607292851, 'gamma': 0.32775307624918, 'learning_rate': 0.4709802642057269, 'max_depth': 6.0, 'min_child_weight': 1.4306755541593374, 'n_estimators': 193.0, 'subsample': 0.74417701406672}
No.20, R2: 0.656299, MSE: 0.107712, MAE: 0.284214, EV: 0.689784 {'colsample_bytree': 0.699621647259157, 'gamma': 0.3228485135429086, 'learning_rate': 0.4810330544499462, 'max_depth': 6.0, 'min_child_weight': 1.420419813959933, 'n_estimators': 196.0, 'subsample': 0.7366764218947928}
No.21, R2: 0.807113, MSE: 0.060449, MAE: 0.195990, EV: 0.807173 {'colsample_bytree': 0.6924608910809936, 'gamma': 0.31119184641500297, 'learning_rate': 0.4700775277292159, 'max_depth': 8.0, 'min_child_weight': 1.4249398611126525, 'n_estimators': 191.0, 'subsample': 0.7277396511377197}
No.22, R2: 0.566994, MSE: 0.135699, MAE: 0.301077, EV: 0.609987 {'colsample_bytree': 0.6852583867792172, 'gamma': 0.31058975977472647, 'learning_rate': 0.47005367581604085, 'max_depth': 8.0, 'min_child_weight': 1.4245144207824858, 'n_estimators': 191.0, 'subsample': 0.7289744295614111}
No.23, R2: 0.769939, MSE: 0.072099, MAE: 0.221788, EV: 0.769994 {'colsample_bytree': 0.6960980079556246, 'gamma': 0.3121888259825828, 'learning_rate': 0.4702564528417055, 'max_depth': 8.0, 'min_child_weight': 1.4218745347854105, 'n_estimators': 191.0, 'subsample': 0.72588248407931}
