No.1, R2: 0.780776, MSE: 0.068702, MAE: 0.218003, EV: 0.780869 {'colsample_bytree': 0.7004345297165371, 'gamma': 0.30489851677484653, 'learning_rate': 0.4829778073211526, 'max_depth': 7.0, 'min_child_weight': 1.4207652346377528, 'n_estimators': 180.0, 'subsample': 0.7238865397155663}
No.2, R2: 0.691562, MSE: 0.096661, MAE: 0.261013, EV: 0.692997 {'colsample_bytree': 0.6939634019895075, 'gamma': 0.3104348157404386, 'learning_rate': 0.4894834409689543, 'max_depth': 6.0, 'min_child_weight': 1.436346222962379, 'n_estimators': 194.0, 'subsample': 0.7299904997578236}
No.3, R2: 0.721859, MSE: 0.087166, MAE: 0.261680, EV: 0.741572 {'colsample_bytree': 0.693839923177752, 'gamma': 0.32569410969923773, 'learning_rate': 0.48912494222212977, 'max_depth': 7.0, 'min_child_weight': 1.421708191374011, 'n_estimators': 188.0, 'subsample': 0.7498619116632425}
No.4, R2: 0.772042, MSE: 0.071440, MAE: 0.205370, EV: 0.772760 {'colsample_bytree': 0.6879104307984151, 'gamma': 0.3236810423247235, 'learning_rate': 0.48196601920290527, 'max_depth': 7.0, 'min_child_weight': 1.4383245898782142, 'n_estimators': 191.0, 'subsample': 0.742133264486124}
No.5, R2: 0.674513, MSE: 0.102004, MAE: 0.267444, EV: 0.680033 {'colsample_bytree': 0.6959080813662293, 'gamma': 0.3270291574933995, 'learning_rate': 0.4836409450597267, 'max_depth': 6.0, 'min_child_weight': 1.4358345499724257, 'n_estimators': 184.0, 'subsample': 0.7484148080648227}
No.6, R2: 0.649550, MSE: 0.109827, MAE: 0.269960, EV: 0.672663 {'colsample_bytree': 0.6936974225034427, 'gamma': 0.32418158101505407, 'learning_rate': 0.47166273292774513, 'max_depth': 6.0, 'min_child_weight': 1.4377050673111953, 'n_estimators': 183.0, 'subsample': 0.7492437945754017}
No.7, R2: 0.715594, MSE: 0.089130, MAE: 0.260050, EV: 0.725831 {'colsample_bytree': 0.6908205136213765, 'gamma': 0.322642420808173, 'learning_rate': 0.47310961621463493, 'max_depth': 6.0, 'min_child_weight': 1.4368887962753951, 'n_estimators': 182.0, 'subsample': 0.7482096252671868}
No.8, R2: 0.717951, MSE: 0.088391, MAE: 0.240549, EV: 0.722426 {'colsample_bytree': 0.6963194254289152, 'gamma': 0.32126239077689966, 'learning_rate': 0.4842824069676644, 'max_depth': 7.0, 'min_child_weight': 1.4330502563653118, 'n_estimators': 195.0, 'subsample': 0.7221064454660162}
No.9, R2: 0.812304, MSE: 0.058822, MAE: 0.203968, EV: 0.817544 {'colsample_bytree': 0.7019205450993852, 'gamma': 0.32955414647916126, 'learning_rate': 0.4752847726172069, 'max_depth': 7.0, 'min_child_weight': 1.4201788388814385, 'n_estimators': 199.0, 'subsample': 0.7370311101796582}
No.10, R2: 0.695823, MSE: 0.095326, MAE: 0.253616, EV: 0.695943 {'colsample_bytree': 0.6905789125931131, 'gamma': 0.3047390906115818, 'learning_rate': 0.4846892966385672, 'max_depth': 8.0, 'min_child_weight': 1.4276152393073882, 'n_estimators': 198.0, 'subsample': 0.7495457915654079}
No.11, R2: 0.797331, MSE: 0.063514, MAE: 0.187522, EV: 0.803349 {'colsample_bytree': 0.6863398475038712, 'gamma': 0.3204529649055827, 'learning_rate': 0.4783764767866083, 'max_depth': 7.0, 'min_child_weight': 1.4388847866146184, 'n_estimators': 198.0, 'subsample': 0.738970610337413}
