No.1, R2: 0.733735, MSE: 0.083445, MAE: 0.241313, EV: 0.734100 {'colsample_bytree': 0.6885846809504217, 'gamma': 0.3213808099457756, 'learning_rate': 0.47415649943769805, 'max_depth': 8.0, 'min_child_weight': 1.4263154359890167, 'n_estimators': 181.0, 'subsample': 0.7444198258791537}
No.2, R2: 0.783471, MSE: 0.067858, MAE: 0.214187, EV: 0.788615 {'colsample_bytree': 0.6898775951419613, 'gamma': 0.30526194196235584, 'learning_rate': 0.47695944985054833, 'max_depth': 8.0, 'min_child_weight': 1.4367302036257166, 'n_estimators': 197.0, 'subsample': 0.7258670357252743}
No.3, R2: 0.750407, MSE: 0.078220, MAE: 0.226562, EV: 0.750412 {'colsample_bytree': 0.6901653419099848, 'gamma': 0.31787028296164216, 'learning_rate': 0.4742506357972002, 'max_depth': 6.0, 'min_child_weight': 1.4384318978845585, 'n_estimators': 183.0, 'subsample': 0.7243909087454958}
No.4, R2: 0.694156, MSE: 0.095848, MAE: 0.267846, EV: 0.695526 {'colsample_bytree': 0.6936413935294957, 'gamma': 0.32626335440384746, 'learning_rate': 0.48988830789876564, 'max_depth': 7.0, 'min_child_weight': 1.4205468377240205, 'n_estimators': 197.0, 'subsample': 0.7205467127230808}
No.5, R2: 0.750995, MSE: 0.078036, MAE: 0.222485, EV: 0.751655 {'colsample_bytree': 0.6926368393725579, 'gamma': 0.30356145944412816, 'learning_rate': 0.4841862823082824, 'max_depth': 8.0, 'min_child_weight': 1.4208707868202453, 'n_estimators': 195.0, 'subsample': 0.7217070804384793}
No.6, R2: 0.729879, MSE: 0.084653, MAE: 0.237042, EV: 0.738763 {'colsample_bytree': 0.696956385680108, 'gamma': 0.3291555524324991, 'learning_rate': 0.4704195487400914, 'max_depth': 7.0, 'min_child_weight': 1.4345559736622686, 'n_estimators': 199.0, 'subsample': 0.7494935554433869}
No.7, R2: 0.769060, MSE: 0.072374, MAE: 0.211529, EV: 0.769184 {'colsample_bytree': 0.6967122855897274, 'gamma': 0.32654560053870735, 'learning_rate': 0.47285143265969953, 'max_depth': 6.0, 'min_child_weight': 1.4367497078461244, 'n_estimators': 185.0, 'subsample': 0.7231250091856346}
No.8, R2: 0.785104, MSE: 0.067346, MAE: 0.210652, EV: 0.800233 {'colsample_bytree': 0.6952931516567075, 'gamma': 0.3218193154118275, 'learning_rate': 0.48979147590306055, 'max_depth': 7.0, 'min_child_weight': 1.4325620009456883, 'n_estimators': 190.0, 'subsample': 0.7484276919293331}
No.9, R2: 0.630321, MSE: 0.115853, MAE: 0.277978, EV: 0.642627 {'colsample_bytree': 0.6989691899510156, 'gamma': 0.3225175992388822, 'learning_rate': 0.4711039903645677, 'max_depth': 6.0, 'min_child_weight': 1.4342058387482184, 'n_estimators': 198.0, 'subsample': 0.7265802926456044}
No.10, R2: 0.669856, MSE: 0.103464, MAE: 0.267716, EV: 0.699666 {'colsample_bytree': 0.693328329937746, 'gamma': 0.3244046357181251, 'learning_rate': 0.47221593121828487, 'max_depth': 6.0, 'min_child_weight': 1.4364766570483436, 'n_estimators': 182.0, 'subsample': 0.7392520007673574}
No.11, R2: 0.637185, MSE: 0.113702, MAE: 0.271467, EV: 0.650721 {'colsample_bytree': 0.686131309226137, 'gamma': 0.3007684008775465, 'learning_rate': 0.4866002240716312, 'max_depth': 6.0, 'min_child_weight': 1.4256763769080627, 'n_estimators': 182.0, 'subsample': 0.7488844636960893}
No.12, R2: 0.746835, MSE: 0.079339, MAE: 0.232998, EV: 0.749348 {'colsample_bytree': 0.7044936996504139, 'gamma': 0.3180189723454524, 'learning_rate': 0.47966721888977615, 'max_depth': 7.0, 'min_child_weight': 1.4316319236378328, 'n_estimators': 187.0, 'subsample': 0.736234715723089}
No.13, R2: 0.643170, MSE: 0.111827, MAE: 0.274064, EV: 0.647335 {'colsample_bytree': 0.6880709140171722, 'gamma': 0.32309897263226317, 'learning_rate': 0.47058033838822705, 'max_depth': 7.0, 'min_child_weight': 1.4354758197573128, 'n_estimators': 186.0, 'subsample': 0.7235755853222138}
No.14, R2: 0.724313, MSE: 0.086397, MAE: 0.230331, EV: 0.731373 {'colsample_bytree': 0.6861221796114154, 'gamma': 0.32744781235717724, 'learning_rate': 0.4745128255799408, 'max_depth': 7.0, 'min_child_weight': 1.4301559285812262, 'n_estimators': 189.0, 'subsample': 0.735402304604253}
No.15, R2: 0.722408, MSE: 0.086994, MAE: 0.231339, EV: 0.746319 {'colsample_bytree': 0.6914832436842543, 'gamma': 0.30282292350859275, 'learning_rate': 0.4732282840991137, 'max_depth': 6.0, 'min_child_weight': 1.4354131877840621, 'n_estimators': 197.0, 'subsample': 0.7404482705283469}
No.16, R2: 0.615707, MSE: 0.120433, MAE: 0.283907, EV: 0.632621 {'colsample_bytree': 0.6992076606114849, 'gamma': 0.3187037306535752, 'learning_rate': 0.48774826209495903, 'max_depth': 8.0, 'min_child_weight': 1.437842234063072, 'n_estimators': 193.0, 'subsample': 0.7320126095024627}
No.17, R2: 0.732404, MSE: 0.083862, MAE: 0.245860, EV: 0.732430 {'colsample_bytree': 0.6957610362705855, 'gamma': 0.3253643350520069, 'learning_rate': 0.4714186703495609, 'max_depth': 8.0, 'min_child_weight': 1.4285744872613548, 'n_estimators': 192.0, 'subsample': 0.7452198966328931}
No.18, R2: 0.820355, MSE: 0.056299, MAE: 0.198738, EV: 0.824357 {'colsample_bytree': 0.7031923726383866, 'gamma': 0.32823889679294854, 'learning_rate': 0.48266232949673443, 'max_depth': 7.0, 'min_child_weight': 1.4236943899257448, 'n_estimators': 192.0, 'subsample': 0.7319434931206585}
No.19, R2: 0.621496, MSE: 0.118619, MAE: 0.283517, EV: 0.646170 {'colsample_bytree': 0.6990804043542119, 'gamma': 0.3216016804708618, 'learning_rate': 0.4710132912581821, 'max_depth': 6.0, 'min_child_weight': 1.4258813425094699, 'n_estimators': 184.0, 'subsample': 0.746590362549806}
No.20, R2: 0.813912, MSE: 0.058318, MAE: 0.195924, EV: 0.813913 {'colsample_bytree': 0.6995870188114576, 'gamma': 0.3156470922828389, 'learning_rate': 0.48821914462116933, 'max_depth': 7.0, 'min_child_weight': 1.4268632324407113, 'n_estimators': 190.0, 'subsample': 0.7386472973866635}
No.21, R2: 0.646486, MSE: 0.110787, MAE: 0.292816, EV: 0.666304 {'colsample_bytree': 0.7049171019868409, 'gamma': 0.31007673765280874, 'learning_rate': 0.48269654887138314, 'max_depth': 7.0, 'min_child_weight': 1.4226098719339313, 'n_estimators': 189.0, 'subsample': 0.7301227037343742}
No.22, R2: 0.677045, MSE: 0.101211, MAE: 0.275019, EV: 0.710454 {'colsample_bytree': 0.7021127202123073, 'gamma': 0.31045916978103616, 'learning_rate': 0.48232332234720354, 'max_depth': 7.0, 'min_child_weight': 1.4233827358636482, 'n_estimators': 192.0, 'subsample': 0.7304992622660372}
No.23, R2: 0.759960, MSE: 0.075226, MAE: 0.217809, EV: 0.761385 {'colsample_bytree': 0.7023676908392625, 'gamma': 0.3125207401339608, 'learning_rate': 0.48646525248369077, 'max_depth': 7.0, 'min_child_weight': 1.428195588309977, 'n_estimators': 194.0, 'subsample': 0.7408317306932093}
No.24, R2: 0.747533, MSE: 0.079120, MAE: 0.223400, EV: 0.764935 {'colsample_bytree': 0.7021055898526241, 'gamma': 0.3149867292406911, 'learning_rate': 0.4785447523450927, 'max_depth': 7.0, 'min_child_weight': 1.4245083212199259, 'n_estimators': 190.0, 'subsample': 0.7330958761522133}
No.25, R2: 0.751687, MSE: 0.077819, MAE: 0.239621, EV: 0.752844 {'colsample_bytree': 0.7035842294210359, 'gamma': 0.30761115427134145, 'learning_rate': 0.4838020102003346, 'max_depth': 7.0, 'min_child_weight': 1.422607926727218, 'n_estimators': 188.0, 'subsample': 0.7385476840907806}
No.26, R2: 0.704043, MSE: 0.092750, MAE: 0.241807, EV: 0.704923 {'colsample_bytree': 0.700354737383302, 'gamma': 0.3144530559110094, 'learning_rate': 0.4882431084530042, 'max_depth': 8.0, 'min_child_weight': 1.4277427608853495, 'n_estimators': 191.0, 'subsample': 0.7427259907600725}
