No.1, R2: 0.707131, MSE: 0.091782, MAE: 0.246766, EV: 0.709438 {'colsample_bytree': 0.7029632041131538, 'gamma': 0.3251056140869993, 'learning_rate': 0.4711274594107099, 'max_depth': 7.0, 'min_child_weight': 1.423213399688288, 'n_estimators': 181.0, 'subsample': 0.7241541678037858}
No.2, R2: 0.799204, MSE: 0.062927, MAE: 0.196413, EV: 0.801889 {'colsample_bytree': 0.6894881205970532, 'gamma': 0.3104777749703474, 'learning_rate': 0.47471882838659396, 'max_depth': 7.0, 'min_child_weight': 1.4333495986524716, 'n_estimators': 197.0, 'subsample': 0.7455312195777107}
No.3, R2: 0.727603, MSE: 0.085366, MAE: 0.249744, EV: 0.727773 {'colsample_bytree': 0.6922322789713388, 'gamma': 0.30727763273630715, 'learning_rate': 0.48334335470576006, 'max_depth': 6.0, 'min_child_weight': 1.4325853212770072, 'n_estimators': 195.0, 'subsample': 0.7241140743207307}
No.4, R2: 0.686644, MSE: 0.098202, MAE: 0.265614, EV: 0.708316 {'colsample_bytree': 0.6887896007919345, 'gamma': 0.32541444091517374, 'learning_rate': 0.48712842585829774, 'max_depth': 6.0, 'min_child_weight': 1.432946978333655, 'n_estimators': 192.0, 'subsample': 0.7370542259397758}
No.5, R2: 0.638887, MSE: 0.113169, MAE: 0.279336, EV: 0.638918 {'colsample_bytree': 0.7007575333022255, 'gamma': 0.30618892870805803, 'learning_rate': 0.47786119654188625, 'max_depth': 8.0, 'min_child_weight': 1.4386507831714055, 'n_estimators': 187.0, 'subsample': 0.7494068701240543}
No.6, R2: 0.660913, MSE: 0.106266, MAE: 0.263390, EV: 0.664468 {'colsample_bytree': 0.6968122035191184, 'gamma': 0.31119965844251263, 'learning_rate': 0.4788795422453348, 'max_depth': 6.0, 'min_child_weight': 1.4222701689067683, 'n_estimators': 195.0, 'subsample': 0.7493340651843474}
No.7, R2: 0.716242, MSE: 0.088927, MAE: 0.257673, EV: 0.719031 {'colsample_bytree': 0.6919168121236623, 'gamma': 0.32573084864235485, 'learning_rate': 0.4809075063090457, 'max_depth': 7.0, 'min_child_weight': 1.4286435010435306, 'n_estimators': 199.0, 'subsample': 0.736556700099296}
No.8, R2: 0.738663, MSE: 0.081900, MAE: 0.235178, EV: 0.746356 {'colsample_bytree': 0.6888539769855966, 'gamma': 0.31667306933375616, 'learning_rate': 0.47429226303764327, 'max_depth': 7.0, 'min_child_weight': 1.426698743144143, 'n_estimators': 195.0, 'subsample': 0.7485476141900854}
No.9, R2: 0.728322, MSE: 0.085141, MAE: 0.246565, EV: 0.728332 {'colsample_bytree': 0.6935278516108637, 'gamma': 0.3049755719319242, 'learning_rate': 0.4835226637068453, 'max_depth': 7.0, 'min_child_weight': 1.4310623568505452, 'n_estimators': 196.0, 'subsample': 0.7443531064772694}
No.10, R2: 0.698921, MSE: 0.094355, MAE: 0.249917, EV: 0.701604 {'colsample_bytree': 0.697775290917497, 'gamma': 0.3125852809194759, 'learning_rate': 0.47788543446960335, 'max_depth': 7.0, 'min_child_weight': 1.427121683683126, 'n_estimators': 187.0, 'subsample': 0.7470746591039464}
No.11, R2: 0.782012, MSE: 0.068315, MAE: 0.216463, EV: 0.798571 {'colsample_bytree': 0.7047368440591348, 'gamma': 0.3098805850348429, 'learning_rate': 0.4817531782395631, 'max_depth': 7.0, 'min_child_weight': 1.4239035395841406, 'n_estimators': 181.0, 'subsample': 0.736038749983787}
No.12, R2: 0.781057, MSE: 0.068614, MAE: 0.209661, EV: 0.783363 {'colsample_bytree': 0.7042412346138264, 'gamma': 0.31423009940103686, 'learning_rate': 0.47564166159598226, 'max_depth': 6.0, 'min_child_weight': 1.4261733740424078, 'n_estimators': 181.0, 'subsample': 0.7251506495592966}
No.13, R2: 0.776635, MSE: 0.070000, MAE: 0.218592, EV: 0.777327 {'colsample_bytree': 0.6894589581920162, 'gamma': 0.3113720314873086, 'learning_rate': 0.47952446359396067, 'max_depth': 7.0, 'min_child_weight': 1.4260480116422505, 'n_estimators': 195.0, 'subsample': 0.7236626833779853}
No.14, R2: 0.778332, MSE: 0.069468, MAE: 0.228005, EV: 0.788959 {'colsample_bytree': 0.7046806132018139, 'gamma': 0.32402516265579456, 'learning_rate': 0.48892181155644415, 'max_depth': 7.0, 'min_child_weight': 1.435114425408465, 'n_estimators': 187.0, 'subsample': 0.737084780014238}
No.15, R2: 0.789804, MSE: 0.065873, MAE: 0.212789, EV: 0.792293 {'colsample_bytree': 0.6904006073842546, 'gamma': 0.31403038760059226, 'learning_rate': 0.4855227753099857, 'max_depth': 8.0, 'min_child_weight': 1.4352558687185675, 'n_estimators': 186.0, 'subsample': 0.7206793332194317}
