No.1, R2: 0.655059, MSE: 0.108101, MAE: 0.272334, EV: 0.662808 {'colsample_bytree': 0.6855219041191029, 'gamma': 0.3264566977288911, 'learning_rate': 0.4708487409282586, 'max_depth': 8.0, 'min_child_weight': 1.4389567417765277, 'n_estimators': 189.0, 'subsample': 0.7364005012580096}
No.2, R2: 0.519468, MSE: 0.150594, MAE: 0.311730, EV: 0.526960 {'colsample_bytree': 0.6955455121446891, 'gamma': 0.3198536691914177, 'learning_rate': 0.4854904722768705, 'max_depth': 8.0, 'min_child_weight': 1.4362540184617616, 'n_estimators': 199.0, 'subsample': 0.7361720002519437}
No.3, R2: 0.844582, MSE: 0.048706, MAE: 0.178193, EV: 0.851846 {'colsample_bytree': 0.6917475968706398, 'gamma': 0.3127299870703472, 'learning_rate': 0.48934527554181556, 'max_depth': 7.0, 'min_child_weight': 1.4301925349648197, 'n_estimators': 183.0, 'subsample': 0.7333795570000213}
No.4, R2: 0.721382, MSE: 0.087316, MAE: 0.262679, EV: 0.721926 {'colsample_bytree': 0.7046572497152196, 'gamma': 0.3044845418765871, 'learning_rate': 0.4786103716430728, 'max_depth': 8.0, 'min_child_weight': 1.435876457352481, 'n_estimators': 184.0, 'subsample': 0.7448285800105394}
No.5, R2: 0.781471, MSE: 0.068485, MAE: 0.218385, EV: 0.783511 {'colsample_bytree': 0.6871940431847826, 'gamma': 0.32892379093135105, 'learning_rate': 0.48581619123290815, 'max_depth': 6.0, 'min_child_weight': 1.4285999928751905, 'n_estimators': 198.0, 'subsample': 0.7366400226592759}
No.6, R2: 0.652131, MSE: 0.109019, MAE: 0.273274, EV: 0.655466 {'colsample_bytree': 0.6859575083175057, 'gamma': 0.31333497910826147, 'learning_rate': 0.48797917044277067, 'max_depth': 8.0, 'min_child_weight': 1.429225426514724, 'n_estimators': 194.0, 'subsample': 0.7492045978933879}
No.7, R2: 0.712724, MSE: 0.090029, MAE: 0.244924, EV: 0.717926 {'colsample_bytree': 0.6855112338431176, 'gamma': 0.30145251224034025, 'learning_rate': 0.4876767706519782, 'max_depth': 7.0, 'min_child_weight': 1.4203462269969074, 'n_estimators': 186.0, 'subsample': 0.7209087514792503}
No.8, R2: 0.786867, MSE: 0.066794, MAE: 0.214041, EV: 0.807136 {'colsample_bytree': 0.6906695661694706, 'gamma': 0.3236132181769874, 'learning_rate': 0.480880865098124, 'max_depth': 7.0, 'min_child_weight': 1.4226640912814514, 'n_estimators': 182.0, 'subsample': 0.7475100457105307}
No.9, R2: 0.677644, MSE: 0.101023, MAE: 0.273414, EV: 0.680801 {'colsample_bytree': 0.7024362290185855, 'gamma': 0.3006953610877751, 'learning_rate': 0.48092284819929687, 'max_depth': 6.0, 'min_child_weight': 1.439735486369257, 'n_estimators': 195.0, 'subsample': 0.7265155737869246}
No.10, R2: 0.655397, MSE: 0.107995, MAE: 0.267177, EV: 0.665724 {'colsample_bytree': 0.7033641254017873, 'gamma': 0.3223039352335057, 'learning_rate': 0.473195460348557, 'max_depth': 6.0, 'min_child_weight': 1.422074829349864, 'n_estimators': 189.0, 'subsample': 0.7348909862636945}
No.11, R2: 0.640931, MSE: 0.112529, MAE: 0.270978, EV: 0.646090 {'colsample_bytree': 0.700711400174582, 'gamma': 0.30299181507656, 'learning_rate': 0.48298369362009275, 'max_depth': 6.0, 'min_child_weight': 1.4300027421430717, 'n_estimators': 181.0, 'subsample': 0.7498813703936961}
No.12, R2: 0.809171, MSE: 0.059804, MAE: 0.195769, EV: 0.812319 {'colsample_bytree': 0.7031333857293655, 'gamma': 0.31829787259946796, 'learning_rate': 0.4816277614857063, 'max_depth': 7.0, 'min_child_weight': 1.420609452284682, 'n_estimators': 195.0, 'subsample': 0.7402128291188351}
No.13, R2: 0.825506, MSE: 0.054685, MAE: 0.186528, EV: 0.832240 {'colsample_bytree': 0.6998865894475337, 'gamma': 0.3211199883596048, 'learning_rate': 0.4875531903483452, 'max_depth': 7.0, 'min_child_weight': 1.421441734150054, 'n_estimators': 194.0, 'subsample': 0.7317208158827362}
No.14, R2: 0.659179, MSE: 0.106810, MAE: 0.261107, EV: 0.677289 {'colsample_bytree': 0.7036476351416265, 'gamma': 0.308278741122357, 'learning_rate': 0.4746101238187246, 'max_depth': 6.0, 'min_child_weight': 1.4300192202875615, 'n_estimators': 184.0, 'subsample': 0.7388651120044818}
No.15, R2: 0.661409, MSE: 0.106111, MAE: 0.275629, EV: 0.698222 {'colsample_bytree': 0.702373313846532, 'gamma': 0.31432350488387484, 'learning_rate': 0.486873404374054, 'max_depth': 7.0, 'min_child_weight': 1.428189293454213, 'n_estimators': 198.0, 'subsample': 0.7308997798755831}
No.16, R2: 0.739395, MSE: 0.081671, MAE: 0.241158, EV: 0.768497 {'colsample_bytree': 0.6855963743554953, 'gamma': 0.3004366661469701, 'learning_rate': 0.4848748085469446, 'max_depth': 6.0, 'min_child_weight': 1.4336397510531314, 'n_estimators': 190.0, 'subsample': 0.7332313471812569}
No.17, R2: 0.482507, MSE: 0.162177, MAE: 0.307336, EV: 0.522223 {'colsample_bytree': 0.6908410985056184, 'gamma': 0.3105109076032025, 'learning_rate': 0.47585607058913165, 'max_depth': 8.0, 'min_child_weight': 1.4226677141088253, 'n_estimators': 198.0, 'subsample': 0.7367404874159631}
No.18, R2: 0.779777, MSE: 0.069016, MAE: 0.227083, EV: 0.784501 {'colsample_bytree': 0.6865353277743709, 'gamma': 0.3029063184947736, 'learning_rate': 0.4863505272670986, 'max_depth': 7.0, 'min_child_weight': 1.4256318972157287, 'n_estimators': 182.0, 'subsample': 0.7492110492208639}
No.19, R2: 0.671470, MSE: 0.102958, MAE: 0.278127, EV: 0.709230 {'colsample_bytree': 0.6908939547572013, 'gamma': 0.3214607031319614, 'learning_rate': 0.4849395799833003, 'max_depth': 6.0, 'min_child_weight': 1.427342200944669, 'n_estimators': 196.0, 'subsample': 0.747245905473809}
No.20, R2: 0.593491, MSE: 0.127396, MAE: 0.302782, EV: 0.609753 {'colsample_bytree': 0.7012699006460664, 'gamma': 0.30563610602817654, 'learning_rate': 0.47456269455331407, 'max_depth': 8.0, 'min_child_weight': 1.4333403616017708, 'n_estimators': 189.0, 'subsample': 0.7440836891723446}
No.21, R2: 0.705520, MSE: 0.092287, MAE: 0.248414, EV: 0.716619 {'colsample_bytree': 0.6985546544198977, 'gamma': 0.3183809626917898, 'learning_rate': 0.48997039201922044, 'max_depth': 7.0, 'min_child_weight': 1.4254594565550576, 'n_estimators': 192.0, 'subsample': 0.7279119628414733}
No.22, R2: 0.745163, MSE: 0.079863, MAE: 0.236775, EV: 0.753739 {'colsample_bytree': 0.6951376052837497, 'gamma': 0.3163888319513308, 'learning_rate': 0.48980878016354634, 'max_depth': 7.0, 'min_child_weight': 1.4327359192944629, 'n_estimators': 192.0, 'subsample': 0.7218150019879771}
No.23, R2: 0.689398, MSE: 0.097339, MAE: 0.263600, EV: 0.696008 {'colsample_bytree': 0.697945605566526, 'gamma': 0.3116178734544636, 'learning_rate': 0.4891942629391651, 'max_depth': 7.0, 'min_child_weight': 1.4313650605740718, 'n_estimators': 186.0, 'subsample': 0.7247416982732998}
No.24, R2: 0.799190, MSE: 0.062932, MAE: 0.202090, EV: 0.799235 {'colsample_bytree': 0.693151667349491, 'gamma': 0.3276723264683234, 'learning_rate': 0.47811500769317805, 'max_depth': 7.0, 'min_child_weight': 1.425253916168441, 'n_estimators': 193.0, 'subsample': 0.7298043526007603}
No.25, R2: 0.623938, MSE: 0.117854, MAE: 0.294123, EV: 0.643630 {'colsample_bytree': 0.688490881350628, 'gamma': 0.30920956323730053, 'learning_rate': 0.4832979766442925, 'max_depth': 7.0, 'min_child_weight': 1.4268655435136255, 'n_estimators': 187.0, 'subsample': 0.7315898479667996}
No.26, R2: 0.708662, MSE: 0.091302, MAE: 0.240867, EV: 0.718958 {'colsample_bytree': 0.6970433470543251, 'gamma': 0.31569836103941806, 'learning_rate': 0.48858017878098703, 'max_depth': 7.0, 'min_child_weight': 1.4357917159700078, 'n_estimators': 191.0, 'subsample': 0.7239492219164408}
No.27, R2: 0.780734, MSE: 0.068716, MAE: 0.208769, EV: 0.780882 {'colsample_bytree': 0.6930619437141583, 'gamma': 0.3245945883642924, 'learning_rate': 0.48346873083977304, 'max_depth': 7.0, 'min_child_weight': 1.4315116755818638, 'n_estimators': 180.0, 'subsample': 0.7401738496137227}
No.28, R2: 0.726216, MSE: 0.085801, MAE: 0.247872, EV: 0.744827 {'colsample_bytree': 0.6991376295550056, 'gamma': 0.31220651799472987, 'learning_rate': 0.48962586429562915, 'max_depth': 7.0, 'min_child_weight': 1.4246296913846914, 'n_estimators': 184.0, 'subsample': 0.7291264343716477}
No.29, R2: 0.597482, MSE: 0.126145, MAE: 0.294791, EV: 0.620402 {'colsample_bytree': 0.6933528984567382, 'gamma': 0.3258553617777547, 'learning_rate': 0.48724841819753156, 'max_depth': 8.0, 'min_child_weight': 1.4387634852188693, 'n_estimators': 188.0, 'subsample': 0.7334289894941546}
No.30, R2: 0.802849, MSE: 0.061785, MAE: 0.202064, EV: 0.803418 {'colsample_bytree': 0.6964455214250446, 'gamma': 0.3172194620235308, 'learning_rate': 0.47775642968455634, 'max_depth': 7.0, 'min_child_weight': 1.4380261864045851, 'n_estimators': 196.0, 'subsample': 0.7426332969865505}
No.31, R2: 0.611857, MSE: 0.121640, MAE: 0.282884, EV: 0.622981 {'colsample_bytree': 0.6888224998969054, 'gamma': 0.3198623161070752, 'learning_rate': 0.4841100063541786, 'max_depth': 8.0, 'min_child_weight': 1.434602043274806, 'n_estimators': 191.0, 'subsample': 0.7327836753495862}
