No.1, R2: 0.658061, MSE: 0.107160, MAE: 0.253103, EV: 0.692277 {'colsample_bytree': 0.6987663515175522, 'gamma': 0.3069660427318761, 'learning_rate': 0.47006639217371116, 'max_depth': 6.0, 'min_child_weight': 1.4325138430108375, 'n_estimators': 194.0, 'subsample': 0.7335438708207059}
No.2, R2: 0.759900, MSE: 0.075245, MAE: 0.213848, EV: 0.773675 {'colsample_bytree': 0.6989218091770624, 'gamma': 0.3010754886776377, 'learning_rate': 0.48936775856967996, 'max_depth': 7.0, 'min_child_weight': 1.436666159431085, 'n_estimators': 197.0, 'subsample': 0.7234516049534385}
No.3, R2: 0.525003, MSE: 0.148859, MAE: 0.297692, EV: 0.561350 {'colsample_bytree': 0.6870472276190194, 'gamma': 0.31493404796234353, 'learning_rate': 0.47283338004054154, 'max_depth': 8.0, 'min_child_weight': 1.4211361236735656, 'n_estimators': 181.0, 'subsample': 0.7434919487898175}
No.4, R2: 0.724399, MSE: 0.086370, MAE: 0.250066, EV: 0.729124 {'colsample_bytree': 0.6993830904195538, 'gamma': 0.32031455196320296, 'learning_rate': 0.47370467974250907, 'max_depth': 7.0, 'min_child_weight': 1.4256816000283774, 'n_estimators': 200.0, 'subsample': 0.7253680849474161}
No.5, R2: 0.688080, MSE: 0.097752, MAE: 0.258098, EV: 0.705924 {'colsample_bytree': 0.6915320547707621, 'gamma': 0.30831049732445054, 'learning_rate': 0.47455287121944345, 'max_depth': 6.0, 'min_child_weight': 1.4336774061647628, 'n_estimators': 188.0, 'subsample': 0.7413555760947595}
No.6, R2: 0.811622, MSE: 0.059036, MAE: 0.200565, EV: 0.811988 {'colsample_bytree': 0.6907058990907434, 'gamma': 0.3042241459000007, 'learning_rate': 0.4744228914938173, 'max_depth': 8.0, 'min_child_weight': 1.424869433856265, 'n_estimators': 185.0, 'subsample': 0.7244905575558912}
No.7, R2: 0.761316, MSE: 0.074801, MAE: 0.225624, EV: 0.768687 {'colsample_bytree': 0.6997268432369013, 'gamma': 0.3128643147712642, 'learning_rate': 0.48152115876805346, 'max_depth': 6.0, 'min_child_weight': 1.4359443526172075, 'n_estimators': 195.0, 'subsample': 0.7233677145821389}
No.8, R2: 0.684647, MSE: 0.098828, MAE: 0.268377, EV: 0.712516 {'colsample_bytree': 0.6991677877135383, 'gamma': 0.3066401299414739, 'learning_rate': 0.48139287188156404, 'max_depth': 7.0, 'min_child_weight': 1.4299671072964897, 'n_estimators': 185.0, 'subsample': 0.7282215339911392}
No.9, R2: 0.689262, MSE: 0.097382, MAE: 0.273901, EV: 0.689462 {'colsample_bytree': 0.6885190338077422, 'gamma': 0.32237765517081646, 'learning_rate': 0.4758468849669092, 'max_depth': 8.0, 'min_child_weight': 1.4347296216654772, 'n_estimators': 189.0, 'subsample': 0.7376139545067275}
No.10, R2: 0.730301, MSE: 0.084521, MAE: 0.239232, EV: 0.750751 {'colsample_bytree': 0.7049099680019724, 'gamma': 0.3018879105503191, 'learning_rate': 0.4722800689632586, 'max_depth': 7.0, 'min_child_weight': 1.423466331836583, 'n_estimators': 191.0, 'subsample': 0.7228028847389992}
No.11, R2: 0.790520, MSE: 0.065649, MAE: 0.186872, EV: 0.796395 {'colsample_bytree': 0.7038164970458266, 'gamma': 0.319573651298771, 'learning_rate': 0.4879365808466016, 'max_depth': 7.0, 'min_child_weight': 1.4262343816123189, 'n_estimators': 195.0, 'subsample': 0.7346959353308473}
