No.1, R2: 0.770288, MSE: 0.071989, MAE: 0.215592, EV: 0.772091 {'colsample_bytree': 0.7027496272570768, 'gamma': 0.3027774865930104, 'learning_rate': 0.47503217684259363, 'max_depth': 6.0, 'min_child_weight': 1.4268805262239443, 'n_estimators': 198.0, 'subsample': 0.7239610062493769}
No.2, R2: 0.822956, MSE: 0.055484, MAE: 0.191552, EV: 0.827175 {'colsample_bytree': 0.6877032848545209, 'gamma': 0.30864209721785874, 'learning_rate': 0.4888601760272523, 'max_depth': 7.0, 'min_child_weight': 1.4218325577312003, 'n_estimators': 194.0, 'subsample': 0.7339615128816457}
No.3, R2: 0.496053, MSE: 0.157932, MAE: 0.314732, EV: 0.508795 {'colsample_bytree': 0.6953800621949183, 'gamma': 0.3242926786906851, 'learning_rate': 0.489800814859462, 'max_depth': 8.0, 'min_child_weight': 1.438662571676804, 'n_estimators': 182.0, 'subsample': 0.7352549213551114}
No.4, R2: 0.768812, MSE: 0.072452, MAE: 0.217086, EV: 0.772381 {'colsample_bytree': 0.6923166444257425, 'gamma': 0.32664100424901776, 'learning_rate': 0.4838592153697784, 'max_depth': 8.0, 'min_child_weight': 1.4223121553447475, 'n_estimators': 199.0, 'subsample': 0.7233938250735972}
No.5, R2: 0.774107, MSE: 0.070792, MAE: 0.210332, EV: 0.776535 {'colsample_bytree': 0.690751705627564, 'gamma': 0.32539930325438476, 'learning_rate': 0.48152983443805564, 'max_depth': 8.0, 'min_child_weight': 1.4210429826640154, 'n_estimators': 198.0, 'subsample': 0.7300523773172539}
No.6, R2: 0.717889, MSE: 0.088411, MAE: 0.260255, EV: 0.734128 {'colsample_bytree': 0.6853715267461289, 'gamma': 0.30706875514324317, 'learning_rate': 0.4861650369351335, 'max_depth': 6.0, 'min_child_weight': 1.4379808823096314, 'n_estimators': 198.0, 'subsample': 0.7470474437692728}
No.7, R2: 0.688487, MSE: 0.097625, MAE: 0.241237, EV: 0.697260 {'colsample_bytree': 0.6975965734328532, 'gamma': 0.32713057512798926, 'learning_rate': 0.489846695685792, 'max_depth': 8.0, 'min_child_weight': 1.4328732013890009, 'n_estimators': 198.0, 'subsample': 0.7227829238776455}
No.8, R2: 0.733114, MSE: 0.083639, MAE: 0.233840, EV: 0.734999 {'colsample_bytree': 0.6973246338085565, 'gamma': 0.32442701388820483, 'learning_rate': 0.4846974605512922, 'max_depth': 8.0, 'min_child_weight': 1.4395314917343087, 'n_estimators': 195.0, 'subsample': 0.7373394086062351}
No.9, R2: 0.773838, MSE: 0.070877, MAE: 0.223509, EV: 0.778606 {'colsample_bytree': 0.6923321810198001, 'gamma': 0.30868553507924895, 'learning_rate': 0.4744065886341932, 'max_depth': 7.0, 'min_child_weight': 1.430401851119751, 'n_estimators': 196.0, 'subsample': 0.7450117373536999}
No.10, R2: 0.664012, MSE: 0.105295, MAE: 0.263258, EV: 0.697217 {'colsample_bytree': 0.7044344062437868, 'gamma': 0.31258222814595976, 'learning_rate': 0.47832184740973216, 'max_depth': 7.0, 'min_child_weight': 1.4292305811035197, 'n_estimators': 191.0, 'subsample': 0.7273234654316292}
No.11, R2: 0.697892, MSE: 0.094677, MAE: 0.242996, EV: 0.704610 {'colsample_bytree': 0.6895633339007795, 'gamma': 0.3094124421801993, 'learning_rate': 0.48605006554389674, 'max_depth': 7.0, 'min_child_weight': 1.4323760558719816, 'n_estimators': 197.0, 'subsample': 0.7471910616962577}
No.12, R2: 0.717915, MSE: 0.088402, MAE: 0.251464, EV: 0.747691 {'colsample_bytree': 0.6949330370589217, 'gamma': 0.30963725759748634, 'learning_rate': 0.48163769420722663, 'max_depth': 7.0, 'min_child_weight': 1.4231740013862662, 'n_estimators': 181.0, 'subsample': 0.7344825803954244}
No.13, R2: 0.693490, MSE: 0.096057, MAE: 0.257283, EV: 0.716874 {'colsample_bytree': 0.6932442437766847, 'gamma': 0.3101570346516513, 'learning_rate': 0.47389818918307114, 'max_depth': 6.0, 'min_child_weight': 1.427841471029164, 'n_estimators': 194.0, 'subsample': 0.7382216986471701}
No.14, R2: 0.776671, MSE: 0.069989, MAE: 0.206747, EV: 0.796168 {'colsample_bytree': 0.6925979883119678, 'gamma': 0.3204880209127733, 'learning_rate': 0.4757405484806227, 'max_depth': 6.0, 'min_child_weight': 1.422022677787338, 'n_estimators': 187.0, 'subsample': 0.7368315067047565}
No.15, R2: 0.769468, MSE: 0.072246, MAE: 0.212929, EV: 0.776285 {'colsample_bytree': 0.6961283762185079, 'gamma': 0.32298272867202316, 'learning_rate': 0.48178682439138876, 'max_depth': 8.0, 'min_child_weight': 1.4282344866281171, 'n_estimators': 188.0, 'subsample': 0.7255190889648043}
No.16, R2: 0.730656, MSE: 0.084409, MAE: 0.239570, EV: 0.735410 {'colsample_bytree': 0.7011305109299409, 'gamma': 0.3294919605092905, 'learning_rate': 0.48459741236295983, 'max_depth': 7.0, 'min_child_weight': 1.4352307269042095, 'n_estimators': 185.0, 'subsample': 0.7369201151336551}
No.17, R2: 0.673110, MSE: 0.102444, MAE: 0.264149, EV: 0.676842 {'colsample_bytree': 0.6905667692504105, 'gamma': 0.3162586986447851, 'learning_rate': 0.47160126923293477, 'max_depth': 7.0, 'min_child_weight': 1.4220109997259889, 'n_estimators': 180.0, 'subsample': 0.7200458431634733}
No.18, R2: 0.752112, MSE: 0.077685, MAE: 0.228512, EV: 0.752129 {'colsample_bytree': 0.6919033461259761, 'gamma': 0.30762317817098456, 'learning_rate': 0.4820050331578747, 'max_depth': 7.0, 'min_child_weight': 1.4319580619221706, 'n_estimators': 197.0, 'subsample': 0.7255745027962897}
No.19, R2: 0.762394, MSE: 0.074463, MAE: 0.203929, EV: 0.766178 {'colsample_bytree': 0.6935651793189017, 'gamma': 0.31251166298487604, 'learning_rate': 0.48140595026860605, 'max_depth': 7.0, 'min_child_weight': 1.434561219620706, 'n_estimators': 188.0, 'subsample': 0.7472539367347023}
No.20, R2: 0.633370, MSE: 0.114898, MAE: 0.286889, EV: 0.651938 {'colsample_bytree': 0.6939945278437266, 'gamma': 0.3109809160477245, 'learning_rate': 0.48528051191966887, 'max_depth': 6.0, 'min_child_weight': 1.4298969545493423, 'n_estimators': 189.0, 'subsample': 0.73418182143388}
No.21, R2: 0.717803, MSE: 0.088437, MAE: 0.263981, EV: 0.735343 {'colsample_bytree': 0.6869302487249913, 'gamma': 0.31837083913623204, 'learning_rate': 0.4774319795287504, 'max_depth': 6.0, 'min_child_weight': 1.4249741779582228, 'n_estimators': 192.0, 'subsample': 0.7414787968686719}
No.22, R2: 0.579331, MSE: 0.131833, MAE: 0.287913, EV: 0.604764 {'colsample_bytree': 0.688063145241247, 'gamma': 0.31937586950518854, 'learning_rate': 0.47010415473739586, 'max_depth': 6.0, 'min_child_weight': 1.4200236428265183, 'n_estimators': 185.0, 'subsample': 0.7312644732272039}
No.23, R2: 0.644608, MSE: 0.111376, MAE: 0.279958, EV: 0.691293 {'colsample_bytree': 0.6861462932846769, 'gamma': 0.30046102559528265, 'learning_rate': 0.47741771075214057, 'max_depth': 6.0, 'min_child_weight': 1.4247481115385858, 'n_estimators': 193.0, 'subsample': 0.7415638149247139}
