No.1, R2: 0.665069, MSE: 0.104964, MAE: 0.264701, EV: 0.677645 {'colsample_bytree': 0.6893030313599604, 'gamma': 0.32051598660212516, 'learning_rate': 0.47152667231517287, 'max_depth': 8.0, 'min_child_weight': 1.437622119055117, 'n_estimators': 186.0, 'subsample': 0.7405686120486986}
No.2, R2: 0.815705, MSE: 0.057756, MAE: 0.176284, EV: 0.820053 {'colsample_bytree': 0.697156955860479, 'gamma': 0.31627748893933355, 'learning_rate': 0.4844467905768571, 'max_depth': 7.0, 'min_child_weight': 1.42948387202592, 'n_estimators': 186.0, 'subsample': 0.7332810969009391}
No.3, R2: 0.696405, MSE: 0.095143, MAE: 0.264407, EV: 0.699421 {'colsample_bytree': 0.6919184554130663, 'gamma': 0.3063910424377846, 'learning_rate': 0.47598049348581234, 'max_depth': 8.0, 'min_child_weight': 1.438159817291767, 'n_estimators': 196.0, 'subsample': 0.7427666498944925}
No.4, R2: 0.745308, MSE: 0.079818, MAE: 0.222043, EV: 0.758333 {'colsample_bytree': 0.6959776452787947, 'gamma': 0.3038703044480921, 'learning_rate': 0.4799882003060525, 'max_depth': 7.0, 'min_child_weight': 1.432995726368362, 'n_estimators': 188.0, 'subsample': 0.7495412544536927}
No.5, R2: 0.806949, MSE: 0.060500, MAE: 0.209990, EV: 0.812111 {'colsample_bytree': 0.7043836671179083, 'gamma': 0.3227252674645945, 'learning_rate': 0.4760119829458779, 'max_depth': 7.0, 'min_child_weight': 1.4294128036646805, 'n_estimators': 196.0, 'subsample': 0.7306863715983591}
No.6, R2: 0.743110, MSE: 0.080506, MAE: 0.223548, EV: 0.756415 {'colsample_bytree': 0.6937072167236833, 'gamma': 0.3062194436732738, 'learning_rate': 0.47201206458140227, 'max_depth': 7.0, 'min_child_weight': 1.4219950819881688, 'n_estimators': 184.0, 'subsample': 0.7340514655661783}
No.7, R2: 0.718285, MSE: 0.088286, MAE: 0.249024, EV: 0.730687 {'colsample_bytree': 0.693888409913615, 'gamma': 0.3255352627836568, 'learning_rate': 0.47980018476179126, 'max_depth': 6.0, 'min_child_weight': 1.4322882611028267, 'n_estimators': 192.0, 'subsample': 0.7480557644964271}
No.8, R2: 0.732965, MSE: 0.083686, MAE: 0.237712, EV: 0.736336 {'colsample_bytree': 0.6969214326618415, 'gamma': 0.3013922910680148, 'learning_rate': 0.48525977775239165, 'max_depth': 7.0, 'min_child_weight': 1.43137986573379, 'n_estimators': 199.0, 'subsample': 0.7435264813146013}
No.9, R2: 0.778056, MSE: 0.069555, MAE: 0.209937, EV: 0.778060 {'colsample_bytree': 0.6923165835857468, 'gamma': 0.3218867139194579, 'learning_rate': 0.4824344621811585, 'max_depth': 8.0, 'min_child_weight': 1.4328459484768075, 'n_estimators': 187.0, 'subsample': 0.7291113265616115}
No.10, R2: 0.627202, MSE: 0.116831, MAE: 0.299366, EV: 0.656565 {'colsample_bytree': 0.7009635504679617, 'gamma': 0.314961296363909, 'learning_rate': 0.4860883794304227, 'max_depth': 7.0, 'min_child_weight': 1.4207559956958231, 'n_estimators': 192.0, 'subsample': 0.7300975987657456}
No.11, R2: 0.814182, MSE: 0.058233, MAE: 0.200157, EV: 0.814265 {'colsample_bytree': 0.6978216460315733, 'gamma': 0.31178269066063613, 'learning_rate': 0.47667522323894795, 'max_depth': 8.0, 'min_child_weight': 1.433733070758873, 'n_estimators': 183.0, 'subsample': 0.7287779995103549}
No.12, R2: 0.737434, MSE: 0.082285, MAE: 0.229316, EV: 0.745957 {'colsample_bytree': 0.7011941406103961, 'gamma': 0.3122613148927111, 'learning_rate': 0.4757563487162246, 'max_depth': 7.0, 'min_child_weight': 1.432075630923241, 'n_estimators': 188.0, 'subsample': 0.7321417454016691}
No.13, R2: 0.742290, MSE: 0.080764, MAE: 0.230986, EV: 0.747046 {'colsample_bytree': 0.6985163122102127, 'gamma': 0.3255212314032054, 'learning_rate': 0.4812183316689386, 'max_depth': 8.0, 'min_child_weight': 1.4227671426563173, 'n_estimators': 198.0, 'subsample': 0.7227111831305522}
No.14, R2: 0.736642, MSE: 0.082533, MAE: 0.229409, EV: 0.762733 {'colsample_bytree': 0.689696878189107, 'gamma': 0.3025178896486316, 'learning_rate': 0.48371011791910223, 'max_depth': 7.0, 'min_child_weight': 1.4211811275072601, 'n_estimators': 194.0, 'subsample': 0.746602192481944}
No.15, R2: 0.681593, MSE: 0.099785, MAE: 0.266323, EV: 0.698072 {'colsample_bytree': 0.6852775800816421, 'gamma': 0.3000627802412676, 'learning_rate': 0.47823728424184, 'max_depth': 6.0, 'min_child_weight': 1.4349151090923322, 'n_estimators': 186.0, 'subsample': 0.7456316525815301}
No.16, R2: 0.532342, MSE: 0.146559, MAE: 0.289885, EV: 0.570410 {'colsample_bytree': 0.6963059023439597, 'gamma': 0.3210239726562129, 'learning_rate': 0.4837031636329958, 'max_depth': 8.0, 'min_child_weight': 1.4305249593694145, 'n_estimators': 192.0, 'subsample': 0.7343199323297477}
No.17, R2: 0.750128, MSE: 0.078307, MAE: 0.226583, EV: 0.758845 {'colsample_bytree': 0.697024747346859, 'gamma': 0.30351464256046734, 'learning_rate': 0.47439820680435585, 'max_depth': 7.0, 'min_child_weight': 1.4301015111084225, 'n_estimators': 181.0, 'subsample': 0.7229827505669563}
No.18, R2: 0.753196, MSE: 0.077346, MAE: 0.227578, EV: 0.770937 {'colsample_bytree': 0.7033974855310113, 'gamma': 0.3287198576318333, 'learning_rate': 0.4881682925399557, 'max_depth': 7.0, 'min_child_weight': 1.4259329912349972, 'n_estimators': 186.0, 'subsample': 0.7488490892115728}
No.19, R2: 0.787774, MSE: 0.066509, MAE: 0.206205, EV: 0.791055 {'colsample_bytree': 0.6883367993135308, 'gamma': 0.3052985661376514, 'learning_rate': 0.47799601066263686, 'max_depth': 7.0, 'min_child_weight': 1.4398615325994373, 'n_estimators': 185.0, 'subsample': 0.7338572898998978}
No.20, R2: 0.762085, MSE: 0.074560, MAE: 0.230888, EV: 0.762761 {'colsample_bytree': 0.6929351508676822, 'gamma': 0.31001096115586796, 'learning_rate': 0.47106793526552987, 'max_depth': 7.0, 'min_child_weight': 1.4275235283300771, 'n_estimators': 192.0, 'subsample': 0.7221541550742093}
