No.1, R2: 0.696212, MSE: 0.095204, MAE: 0.251551, EV: 0.696382 {'colsample_bytree': 0.6884103518280299, 'gamma': 0.302084193938201, 'learning_rate': 0.48323782712499336, 'max_depth': 8.0, 'min_child_weight': 1.4225933677094007, 'n_estimators': 188.0, 'subsample': 0.7426397955448151}
No.2, R2: 0.808172, MSE: 0.060117, MAE: 0.210412, EV: 0.816400 {'colsample_bytree': 0.6914660607341016, 'gamma': 0.3187484193147289, 'learning_rate': 0.48691380694282116, 'max_depth': 7.0, 'min_child_weight': 1.4221737189801855, 'n_estimators': 195.0, 'subsample': 0.7403602076693118}
No.3, R2: 0.720126, MSE: 0.087709, MAE: 0.246483, EV: 0.736892 {'colsample_bytree': 0.6971086182794224, 'gamma': 0.3209933331877282, 'learning_rate': 0.4738989731565043, 'max_depth': 7.0, 'min_child_weight': 1.4312697456445156, 'n_estimators': 191.0, 'subsample': 0.7408654964655146}
No.4, R2: 0.733413, MSE: 0.083546, MAE: 0.232626, EV: 0.734008 {'colsample_bytree': 0.6896573622774818, 'gamma': 0.302272384310339, 'learning_rate': 0.4875413862127758, 'max_depth': 7.0, 'min_child_weight': 1.4260390946048533, 'n_estimators': 195.0, 'subsample': 0.7394280921061964}
No.5, R2: 0.693439, MSE: 0.096073, MAE: 0.263761, EV: 0.709412 {'colsample_bytree': 0.7005152317155693, 'gamma': 0.3176764934629615, 'learning_rate': 0.48358430661763385, 'max_depth': 8.0, 'min_child_weight': 1.4353752764688512, 'n_estimators': 188.0, 'subsample': 0.7374500786009252}
No.6, R2: 0.650160, MSE: 0.109636, MAE: 0.275968, EV: 0.650281 {'colsample_bytree': 0.6906726317798515, 'gamma': 0.3206067961689553, 'learning_rate': 0.4834102152931161, 'max_depth': 8.0, 'min_child_weight': 1.4396643718022526, 'n_estimators': 198.0, 'subsample': 0.7497680002778001}
No.7, R2: 0.772382, MSE: 0.071333, MAE: 0.222937, EV: 0.775394 {'colsample_bytree': 0.6907417803030705, 'gamma': 0.30171028889653806, 'learning_rate': 0.4780516427315649, 'max_depth': 7.0, 'min_child_weight': 1.4376424598345037, 'n_estimators': 181.0, 'subsample': 0.7486848488451475}
No.8, R2: 0.753394, MSE: 0.077284, MAE: 0.217658, EV: 0.770349 {'colsample_bytree': 0.6906740205632117, 'gamma': 0.31517040166918225, 'learning_rate': 0.4814735164045997, 'max_depth': 7.0, 'min_child_weight': 1.4374324285521725, 'n_estimators': 194.0, 'subsample': 0.7347217238867311}
No.9, R2: 0.650511, MSE: 0.109526, MAE: 0.273439, EV: 0.677242 {'colsample_bytree': 0.6945689844476355, 'gamma': 0.30295720095992873, 'learning_rate': 0.4898479568148548, 'max_depth': 6.0, 'min_child_weight': 1.429619270040695, 'n_estimators': 186.0, 'subsample': 0.729097708869035}
No.10, R2: 0.781331, MSE: 0.068529, MAE: 0.224836, EV: 0.781753 {'colsample_bytree': 0.6956007367517402, 'gamma': 0.30950357944151974, 'learning_rate': 0.4801799406382676, 'max_depth': 7.0, 'min_child_weight': 1.439355883714006, 'n_estimators': 197.0, 'subsample': 0.7237194454255693}
No.11, R2: 0.825885, MSE: 0.054566, MAE: 0.177584, EV: 0.833723 {'colsample_bytree': 0.7048759072243075, 'gamma': 0.3085204298694158, 'learning_rate': 0.4880741173674933, 'max_depth': 7.0, 'min_child_weight': 1.4268205063491177, 'n_estimators': 185.0, 'subsample': 0.7344034875189338}
No.12, R2: 0.795687, MSE: 0.064029, MAE: 0.204841, EV: 0.795981 {'colsample_bytree': 0.6944287205567268, 'gamma': 0.3178894999553637, 'learning_rate': 0.4736555776066263, 'max_depth': 8.0, 'min_child_weight': 1.4317164340529942, 'n_estimators': 196.0, 'subsample': 0.7286140495476183}
No.13, R2: 0.749321, MSE: 0.078560, MAE: 0.237069, EV: 0.750641 {'colsample_bytree': 0.6932935791902207, 'gamma': 0.30494841237416737, 'learning_rate': 0.48029605712914264, 'max_depth': 8.0, 'min_child_weight': 1.4391333697711106, 'n_estimators': 194.0, 'subsample': 0.741793452109912}
No.14, R2: 0.801461, MSE: 0.062220, MAE: 0.202334, EV: 0.802519 {'colsample_bytree': 0.6983140743659717, 'gamma': 0.3190397569203225, 'learning_rate': 0.477764368039557, 'max_depth': 7.0, 'min_child_weight': 1.430380746988081, 'n_estimators': 190.0, 'subsample': 0.7420253851175163}
No.15, R2: 0.782075, MSE: 0.068295, MAE: 0.211275, EV: 0.783144 {'colsample_bytree': 0.702629785843484, 'gamma': 0.32072962145666273, 'learning_rate': 0.486258208429066, 'max_depth': 7.0, 'min_child_weight': 1.4224553623224885, 'n_estimators': 198.0, 'subsample': 0.7431465493391894}
No.16, R2: 0.719299, MSE: 0.087969, MAE: 0.229929, EV: 0.722516 {'colsample_bytree': 0.6908686290505811, 'gamma': 0.3241238716719049, 'learning_rate': 0.4791104796811243, 'max_depth': 7.0, 'min_child_weight': 1.4238678904257802, 'n_estimators': 198.0, 'subsample': 0.74693488398636}
No.17, R2: 0.729232, MSE: 0.084856, MAE: 0.240658, EV: 0.738347 {'colsample_bytree': 0.6924101340948099, 'gamma': 0.31415011788460107, 'learning_rate': 0.4723332443788624, 'max_depth': 8.0, 'min_child_weight': 1.4243150760856065, 'n_estimators': 180.0, 'subsample': 0.7477396521060636}
No.18, R2: 0.795527, MSE: 0.064080, MAE: 0.205153, EV: 0.795534 {'colsample_bytree': 0.6882375119340322, 'gamma': 0.31713456712225574, 'learning_rate': 0.476502611782795, 'max_depth': 7.0, 'min_child_weight': 1.4223619126259317, 'n_estimators': 186.0, 'subsample': 0.726357501967331}
No.19, R2: 0.721240, MSE: 0.087360, MAE: 0.235525, EV: 0.724075 {'colsample_bytree': 0.6909088377511354, 'gamma': 0.3048267561859456, 'learning_rate': 0.4834007447196626, 'max_depth': 7.0, 'min_child_weight': 1.433878055664755, 'n_estimators': 192.0, 'subsample': 0.7435600354262708}
No.20, R2: 0.568166, MSE: 0.135332, MAE: 0.284985, EV: 0.592793 {'colsample_bytree': 0.6971099863443618, 'gamma': 0.3281954054620109, 'learning_rate': 0.4842018097219891, 'max_depth': 8.0, 'min_child_weight': 1.427251716500862, 'n_estimators': 197.0, 'subsample': 0.7350783114181778}
No.21, R2: 0.698809, MSE: 0.094390, MAE: 0.256133, EV: 0.723248 {'colsample_bytree': 0.6862244882868064, 'gamma': 0.3092780021647927, 'learning_rate': 0.4899768942365578, 'max_depth': 6.0, 'min_child_weight': 1.4209160502855542, 'n_estimators': 183.0, 'subsample': 0.7331330501338996}
No.22, R2: 0.638708, MSE: 0.113225, MAE: 0.275185, EV: 0.640170 {'colsample_bytree': 0.7042489787461587, 'gamma': 0.31091526521614216, 'learning_rate': 0.48832922568535103, 'max_depth': 6.0, 'min_child_weight': 1.4276740987389234, 'n_estimators': 183.0, 'subsample': 0.7313798530542228}
No.23, R2: 0.635749, MSE: 0.114152, MAE: 0.296253, EV: 0.665049 {'colsample_bytree': 0.7002042112294465, 'gamma': 0.32573064233980914, 'learning_rate': 0.48600942075546194, 'max_depth': 6.0, 'min_child_weight': 1.420311774594974, 'n_estimators': 200.0, 'subsample': 0.7372584091396278}
No.24, R2: 0.735782, MSE: 0.082803, MAE: 0.232360, EV: 0.736965 {'colsample_bytree': 0.7047163638075616, 'gamma': 0.31278726396249434, 'learning_rate': 0.48840859171111833, 'max_depth': 6.0, 'min_child_weight': 1.4254149863003247, 'n_estimators': 184.0, 'subsample': 0.7453319538804452}
No.25, R2: 0.760115, MSE: 0.075177, MAE: 0.225433, EV: 0.763346 {'colsample_bytree': 0.6864380098419912, 'gamma': 0.3065940285382116, 'learning_rate': 0.4858410431691071, 'max_depth': 7.0, 'min_child_weight': 1.4278665230766814, 'n_estimators': 192.0, 'subsample': 0.738517914419686}
No.26, R2: 0.733331, MSE: 0.083571, MAE: 0.227288, EV: 0.741485 {'colsample_bytree': 0.6995331819353154, 'gamma': 0.32349166366190013, 'learning_rate': 0.4899247496404111, 'max_depth': 6.0, 'min_child_weight': 1.420101239867198, 'n_estimators': 188.0, 'subsample': 0.7222620033972513}
No.27, R2: 0.695343, MSE: 0.095476, MAE: 0.236021, EV: 0.701481 {'colsample_bytree': 0.685078227981352, 'gamma': 0.3076460748755766, 'learning_rate': 0.48751553797191327, 'max_depth': 7.0, 'min_child_weight': 1.4286932439288962, 'n_estimators': 186.0, 'subsample': 0.7351628948675093}
No.28, R2: 0.769553, MSE: 0.072220, MAE: 0.238166, EV: 0.769948 {'colsample_bytree': 0.7019112642178862, 'gamma': 0.32951900111452515, 'learning_rate': 0.48174406085391913, 'max_depth': 7.0, 'min_child_weight': 1.4263313342779531, 'n_estimators': 193.0, 'subsample': 0.7314429231783081}
No.29, R2: 0.734275, MSE: 0.083275, MAE: 0.232753, EV: 0.736197 {'colsample_bytree': 0.6880039877693038, 'gamma': 0.31215005418322456, 'learning_rate': 0.4847671109424112, 'max_depth': 6.0, 'min_child_weight': 1.4237455537229036, 'n_estimators': 189.0, 'subsample': 0.7452055343872376}
No.30, R2: 0.662201, MSE: 0.105863, MAE: 0.261606, EV: 0.671831 {'colsample_bytree': 0.6926235593426334, 'gamma': 0.3137068363728531, 'learning_rate': 0.48165854852624823, 'max_depth': 8.0, 'min_child_weight': 1.4213273064586702, 'n_estimators': 184.0, 'subsample': 0.7400607181832406}
No.31, R2: 0.781296, MSE: 0.068539, MAE: 0.219875, EV: 0.783655 {'colsample_bytree': 0.6959745671342111, 'gamma': 0.3156355443946398, 'learning_rate': 0.4700294625999753, 'max_depth': 7.0, 'min_child_weight': 1.4320315827211056, 'n_estimators': 190.0, 'subsample': 0.7261164814136349}
No.32, R2: 0.746691, MSE: 0.079384, MAE: 0.238988, EV: 0.750136 {'colsample_bytree': 0.6969673355542038, 'gamma': 0.32292068822330483, 'learning_rate': 0.48904066513406474, 'max_depth': 7.0, 'min_child_weight': 1.4249091082519627, 'n_estimators': 181.0, 'subsample': 0.7364963672233849}
No.33, R2: 0.783116, MSE: 0.067969, MAE: 0.208989, EV: 0.786736 {'colsample_bytree': 0.689427310798296, 'gamma': 0.311461187929351, 'learning_rate': 0.48727237162778486, 'max_depth': 7.0, 'min_child_weight': 1.4328732229840815, 'n_estimators': 200.0, 'subsample': 0.7318364414689705}
No.34, R2: 0.754506, MSE: 0.076935, MAE: 0.237456, EV: 0.768186 {'colsample_bytree': 0.7031742732529176, 'gamma': 0.3091787964930661, 'learning_rate': 0.48472089540383106, 'max_depth': 8.0, 'min_child_weight': 1.4264901857888155, 'n_estimators': 188.0, 'subsample': 0.7288337471487413}
No.35, R2: 0.774708, MSE: 0.070604, MAE: 0.207637, EV: 0.784049 {'colsample_bytree': 0.6934547891105534, 'gamma': 0.31606147282321156, 'learning_rate': 0.47594513497523294, 'max_depth': 7.0, 'min_child_weight': 1.4291759217547486, 'n_estimators': 195.0, 'subsample': 0.7383137013122308}
No.36, R2: 0.633705, MSE: 0.114793, MAE: 0.270563, EV: 0.646469 {'colsample_bytree': 0.6983660102121053, 'gamma': 0.30036413772863846, 'learning_rate': 0.48259800007170306, 'max_depth': 6.0, 'min_child_weight': 1.4217856162212543, 'n_estimators': 191.0, 'subsample': 0.7335144759294809}
No.37, R2: 0.764417, MSE: 0.073829, MAE: 0.214192, EV: 0.764428 {'colsample_bytree': 0.6891885565927155, 'gamma': 0.3195226553160442, 'learning_rate': 0.48657108602444227, 'max_depth': 8.0, 'min_child_weight': 1.4232687671542479, 'n_estimators': 187.0, 'subsample': 0.7202961079656982}
No.38, R2: 0.807455, MSE: 0.060341, MAE: 0.191799, EV: 0.813381 {'colsample_bytree': 0.6871669245623466, 'gamma': 0.3262953900518952, 'learning_rate': 0.4888607595808599, 'max_depth': 7.0, 'min_child_weight': 1.434421052039817, 'n_estimators': 185.0, 'subsample': 0.7394760983007247}
No.39, R2: 0.746707, MSE: 0.079379, MAE: 0.223320, EV: 0.754304 {'colsample_bytree': 0.6918166953066446, 'gamma': 0.3040595421541143, 'learning_rate': 0.48517737420948237, 'max_depth': 7.0, 'min_child_weight': 1.43087773056742, 'n_estimators': 182.0, 'subsample': 0.7408245589846006}
No.40, R2: 0.548093, MSE: 0.141623, MAE: 0.312343, EV: 0.548476 {'colsample_bytree': 0.6852386527740988, 'gamma': 0.3000916391705764, 'learning_rate': 0.48272968561411445, 'max_depth': 8.0, 'min_child_weight': 1.425297852573135, 'n_estimators': 195.0, 'subsample': 0.7443922264167137}
No.41, R2: 0.628390, MSE: 0.116458, MAE: 0.281569, EV: 0.630604 {'colsample_bytree': 0.7013237939455222, 'gamma': 0.3067506874653873, 'learning_rate': 0.48762788434548326, 'max_depth': 7.0, 'min_child_weight': 1.4284392035793023, 'n_estimators': 199.0, 'subsample': 0.7363683205312499}
No.42, R2: 0.744216, MSE: 0.080160, MAE: 0.233764, EV: 0.745896 {'colsample_bytree': 0.694148343515517, 'gamma': 0.3183095710039517, 'learning_rate': 0.4808437315636918, 'max_depth': 6.0, 'min_child_weight': 1.4298771898721183, 'n_estimators': 193.0, 'subsample': 0.7297009656729666}
No.43, R2: 0.723103, MSE: 0.086776, MAE: 0.243712, EV: 0.742010 {'colsample_bytree': 0.6956548497672911, 'gamma': 0.32135259651508474, 'learning_rate': 0.48973516316183463, 'max_depth': 7.0, 'min_child_weight': 1.4268140600623995, 'n_estimators': 189.0, 'subsample': 0.7496914856097304}
No.44, R2: 0.773958, MSE: 0.070839, MAE: 0.220002, EV: 0.778005 {'colsample_bytree': 0.690137001808958, 'gamma': 0.31015827211898733, 'learning_rate': 0.47924002476416416, 'max_depth': 8.0, 'min_child_weight': 1.422697446239998, 'n_estimators': 196.0, 'subsample': 0.7254796852361565}
No.45, R2: 0.784178, MSE: 0.067636, MAE: 0.208525, EV: 0.795286 {'colsample_bytree': 0.6970529431760624, 'gamma': 0.31685828742839944, 'learning_rate': 0.4703455835406277, 'max_depth': 7.0, 'min_child_weight': 1.4245763702906855, 'n_estimators': 180.0, 'subsample': 0.7332495797823776}
No.46, R2: 0.694635, MSE: 0.095698, MAE: 0.257504, EV: 0.719456 {'colsample_bytree': 0.6988630582854879, 'gamma': 0.30187614467795476, 'learning_rate': 0.4747942864131725, 'max_depth': 6.0, 'min_child_weight': 1.4364567989331132, 'n_estimators': 191.0, 'subsample': 0.7273953138233645}
No.47, R2: 0.650651, MSE: 0.109482, MAE: 0.272595, EV: 0.656024 {'colsample_bytree': 0.692039990594786, 'gamma': 0.3219081798635987, 'learning_rate': 0.48407923043019185, 'max_depth': 8.0, 'min_child_weight': 1.4259915599465107, 'n_estimators': 194.0, 'subsample': 0.7414308628148395}
No.48, R2: 0.706593, MSE: 0.091950, MAE: 0.249624, EV: 0.722763 {'colsample_bytree': 0.6935138262162178, 'gamma': 0.31438855222277534, 'learning_rate': 0.48667893311680893, 'max_depth': 7.0, 'min_child_weight': 1.4229768273807257, 'n_estimators': 187.0, 'subsample': 0.74660453849807}
No.49, R2: 0.790961, MSE: 0.065511, MAE: 0.204147, EV: 0.792157 {'colsample_bytree': 0.7039554806508076, 'gamma': 0.3080228407954873, 'learning_rate': 0.47784306537973337, 'max_depth': 7.0, 'min_child_weight': 1.4322352693785179, 'n_estimators': 196.0, 'subsample': 0.7428742150016985}
No.50, R2: 0.742750, MSE: 0.080619, MAE: 0.233657, EV: 0.742868 {'colsample_bytree': 0.6912702581647446, 'gamma': 0.32004790863191307, 'learning_rate': 0.47889091978763004, 'max_depth': 8.0, 'min_child_weight': 1.4206613517075917, 'n_estimators': 185.0, 'subsample': 0.7300502552237664}
