No.1, R2: 0.670017, MSE: 0.103413, MAE: 0.267914, EV: 0.684295 {'colsample_bytree': 0.6882098611564319, 'gamma': 0.30398215527840633, 'learning_rate': 0.4743615096891583, 'max_depth': 7.0, 'min_child_weight': 1.4395001138382266, 'n_estimators': 183.0, 'subsample': 0.7269518486756753}
No.2, R2: 0.687756, MSE: 0.097854, MAE: 0.247225, EV: 0.709440 {'colsample_bytree': 0.7043207695973941, 'gamma': 0.3187964553212262, 'learning_rate': 0.4878964219041332, 'max_depth': 6.0, 'min_child_weight': 1.4258668145399367, 'n_estimators': 192.0, 'subsample': 0.7431550189829287}
No.3, R2: 0.697478, MSE: 0.094807, MAE: 0.253160, EV: 0.700791 {'colsample_bytree': 0.6944744703614533, 'gamma': 0.31844424465368426, 'learning_rate': 0.4763806025639728, 'max_depth': 7.0, 'min_child_weight': 1.431852123866884, 'n_estimators': 180.0, 'subsample': 0.7256864339504004}
No.4, R2: 0.662453, MSE: 0.105784, MAE: 0.261229, EV: 0.677117 {'colsample_bytree': 0.6865879368715369, 'gamma': 0.3209405463240245, 'learning_rate': 0.4738823730407437, 'max_depth': 8.0, 'min_child_weight': 1.4261815221742504, 'n_estimators': 185.0, 'subsample': 0.733560999910568}
No.5, R2: 0.587785, MSE: 0.129184, MAE: 0.296875, EV: 0.596281 {'colsample_bytree': 0.7032082035817927, 'gamma': 0.3173690308262594, 'learning_rate': 0.47470892772759443, 'max_depth': 6.0, 'min_child_weight': 1.4332041094417902, 'n_estimators': 199.0, 'subsample': 0.72813564094565}
No.6, R2: 0.743238, MSE: 0.080466, MAE: 0.236841, EV: 0.768701 {'colsample_bytree': 0.695496742975411, 'gamma': 0.3245896087691287, 'learning_rate': 0.48515162503494846, 'max_depth': 7.0, 'min_child_weight': 1.4311053575225392, 'n_estimators': 198.0, 'subsample': 0.749048533239618}
No.7, R2: 0.729146, MSE: 0.084883, MAE: 0.229256, EV: 0.742868 {'colsample_bytree': 0.6965293520072952, 'gamma': 0.304978415441017, 'learning_rate': 0.4736025805042798, 'max_depth': 6.0, 'min_child_weight': 1.4248230733456597, 'n_estimators': 192.0, 'subsample': 0.7305930442571468}
No.8, R2: 0.706473, MSE: 0.091988, MAE: 0.270900, EV: 0.727937 {'colsample_bytree': 0.6965234232506065, 'gamma': 0.31327860594151524, 'learning_rate': 0.482347658388872, 'max_depth': 8.0, 'min_child_weight': 1.4267406379195096, 'n_estimators': 195.0, 'subsample': 0.7402401945110809}
No.9, R2: 0.787617, MSE: 0.066559, MAE: 0.214172, EV: 0.789890 {'colsample_bytree': 0.6885468990447444, 'gamma': 0.30092171614182117, 'learning_rate': 0.48210510491418673, 'max_depth': 8.0, 'min_child_weight': 1.4269910560611556, 'n_estimators': 184.0, 'subsample': 0.7238664357015864}
No.10, R2: 0.780244, MSE: 0.068869, MAE: 0.231003, EV: 0.781434 {'colsample_bytree': 0.6983345878791003, 'gamma': 0.313748352573538, 'learning_rate': 0.4722243369792706, 'max_depth': 7.0, 'min_child_weight': 1.4344455264517042, 'n_estimators': 190.0, 'subsample': 0.7308138707028781}
No.11, R2: 0.729346, MSE: 0.084820, MAE: 0.233212, EV: 0.731422 {'colsample_bytree': 0.7020426388728948, 'gamma': 0.3039848932659225, 'learning_rate': 0.4834724222788997, 'max_depth': 8.0, 'min_child_weight': 1.435363272616018, 'n_estimators': 198.0, 'subsample': 0.7256174038452192}
No.12, R2: 0.657439, MSE: 0.107355, MAE: 0.267368, EV: 0.665774 {'colsample_bytree': 0.6942271584396119, 'gamma': 0.3213067979078992, 'learning_rate': 0.4735563024843545, 'max_depth': 6.0, 'min_child_weight': 1.4318744204045484, 'n_estimators': 185.0, 'subsample': 0.7351566893393353}
No.13, R2: 0.826599, MSE: 0.054342, MAE: 0.185604, EV: 0.831703 {'colsample_bytree': 0.6932472385071073, 'gamma': 0.3184282357165695, 'learning_rate': 0.48563856887785095, 'max_depth': 7.0, 'min_child_weight': 1.4281081405899327, 'n_estimators': 184.0, 'subsample': 0.7356714726228819}
No.14, R2: 0.806678, MSE: 0.060585, MAE: 0.175385, EV: 0.809004 {'colsample_bytree': 0.7036893692484788, 'gamma': 0.32899986459765224, 'learning_rate': 0.48626270268981603, 'max_depth': 7.0, 'min_child_weight': 1.4301721779205356, 'n_estimators': 193.0, 'subsample': 0.7319770101638512}
No.15, R2: 0.637852, MSE: 0.113493, MAE: 0.272006, EV: 0.661219 {'colsample_bytree': 0.7037063869602195, 'gamma': 0.30513292644408024, 'learning_rate': 0.4850891144101904, 'max_depth': 6.0, 'min_child_weight': 1.4248170619226863, 'n_estimators': 196.0, 'subsample': 0.7422788339062392}
No.16, R2: 0.570294, MSE: 0.134665, MAE: 0.288566, EV: 0.582388 {'colsample_bytree': 0.6897713564278748, 'gamma': 0.318212646466146, 'learning_rate': 0.47399421689706334, 'max_depth': 8.0, 'min_child_weight': 1.425061209915141, 'n_estimators': 182.0, 'subsample': 0.7350361536430705}
