No.1, R2: 0.773287, MSE: 0.071049, MAE: 0.213965, EV: 0.786346 {'colsample_bytree': 0.6934698442525836, 'gamma': 0.3042866874349571, 'learning_rate': 0.47272959333393155, 'max_depth': 7.0, 'min_child_weight': 1.4217489616957062, 'n_estimators': 186.0, 'subsample': 0.7260356068724724}
No.2, R2: 0.814286, MSE: 0.058201, MAE: 0.187231, EV: 0.818363 {'colsample_bytree': 0.6923374450933165, 'gamma': 0.3099848034405605, 'learning_rate': 0.47248495539101854, 'max_depth': 7.0, 'min_child_weight': 1.4369044907775992, 'n_estimators': 195.0, 'subsample': 0.7353913271827993}
No.3, R2: 0.765889, MSE: 0.073368, MAE: 0.209699, EV: 0.766035 {'colsample_bytree': 0.6908366207214436, 'gamma': 0.325211437994202, 'learning_rate': 0.48566562394427937, 'max_depth': 7.0, 'min_child_weight': 1.439301983925996, 'n_estimators': 194.0, 'subsample': 0.7410615889481885}
No.4, R2: 0.583746, MSE: 0.130449, MAE: 0.304356, EV: 0.604367 {'colsample_bytree': 0.6908589256806246, 'gamma': 0.309482572727249, 'learning_rate': 0.4791884938076904, 'max_depth': 8.0, 'min_child_weight': 1.4397058938180676, 'n_estimators': 184.0, 'subsample': 0.732799864743868}
No.5, R2: 0.766725, MSE: 0.073106, MAE: 0.226729, EV: 0.766730 {'colsample_bytree': 0.6990261006132845, 'gamma': 0.3112252335838185, 'learning_rate': 0.4841197886918616, 'max_depth': 7.0, 'min_child_weight': 1.4262227256632376, 'n_estimators': 195.0, 'subsample': 0.7240037236061555}
No.6, R2: 0.730712, MSE: 0.084392, MAE: 0.228805, EV: 0.731228 {'colsample_bytree': 0.6939602973376549, 'gamma': 0.32592621276167894, 'learning_rate': 0.48061998951476625, 'max_depth': 7.0, 'min_child_weight': 1.4297319369082815, 'n_estimators': 185.0, 'subsample': 0.735833089243181}
No.7, R2: 0.700889, MSE: 0.093738, MAE: 0.265354, EV: 0.702570 {'colsample_bytree': 0.6898145678481036, 'gamma': 0.3078416048683019, 'learning_rate': 0.47264752717484754, 'max_depth': 8.0, 'min_child_weight': 1.425221248165424, 'n_estimators': 181.0, 'subsample': 0.7314515941129863}
No.8, R2: 0.737828, MSE: 0.082162, MAE: 0.227749, EV: 0.757865 {'colsample_bytree': 0.698491369234881, 'gamma': 0.3141476751824367, 'learning_rate': 0.48224147834011166, 'max_depth': 7.0, 'min_child_weight': 1.437786368214623, 'n_estimators': 181.0, 'subsample': 0.749750917223776}
No.9, R2: 0.600454, MSE: 0.125213, MAE: 0.295759, EV: 0.600965 {'colsample_bytree': 0.6963181951146562, 'gamma': 0.315780718876402, 'learning_rate': 0.48584004376929046, 'max_depth': 7.0, 'min_child_weight': 1.422260617269399, 'n_estimators': 193.0, 'subsample': 0.736718705373461}
No.10, R2: 0.579969, MSE: 0.131633, MAE: 0.305127, EV: 0.602310 {'colsample_bytree': 0.6996898296074135, 'gamma': 0.31699166041335936, 'learning_rate': 0.478200114940168, 'max_depth': 8.0, 'min_child_weight': 1.4304888421586137, 'n_estimators': 193.0, 'subsample': 0.7336419743101215}
No.11, R2: 0.720301, MSE: 0.087655, MAE: 0.248784, EV: 0.754918 {'colsample_bytree': 0.6938979729222812, 'gamma': 0.31341583881754326, 'learning_rate': 0.4898637116290715, 'max_depth': 6.0, 'min_child_weight': 1.434622634649801, 'n_estimators': 193.0, 'subsample': 0.7411935830732059}
No.12, R2: 0.721819, MSE: 0.087179, MAE: 0.246809, EV: 0.721971 {'colsample_bytree': 0.6909459957736857, 'gamma': 0.32220057891337495, 'learning_rate': 0.4886933943827166, 'max_depth': 8.0, 'min_child_weight': 1.4373226053619879, 'n_estimators': 181.0, 'subsample': 0.7394489355693948}
No.13, R2: 0.784612, MSE: 0.067500, MAE: 0.208907, EV: 0.790322 {'colsample_bytree': 0.6970893346285201, 'gamma': 0.32985005022920466, 'learning_rate': 0.4767099236861042, 'max_depth': 8.0, 'min_child_weight': 1.4361859687093734, 'n_estimators': 189.0, 'subsample': 0.7255515428747547}
No.14, R2: 0.753046, MSE: 0.077393, MAE: 0.230848, EV: 0.758162 {'colsample_bytree': 0.7044653635194819, 'gamma': 0.32976994825297673, 'learning_rate': 0.4879991067559168, 'max_depth': 6.0, 'min_child_weight': 1.4361573463476152, 'n_estimators': 198.0, 'subsample': 0.7225772610501855}
No.15, R2: 0.674655, MSE: 0.101960, MAE: 0.275422, EV: 0.709767 {'colsample_bytree': 0.6918442359107807, 'gamma': 0.32919995082521036, 'learning_rate': 0.4782191511523323, 'max_depth': 6.0, 'min_child_weight': 1.4248033088111582, 'n_estimators': 199.0, 'subsample': 0.7417630043728635}
No.16, R2: 0.737980, MSE: 0.082114, MAE: 0.225136, EV: 0.756659 {'colsample_bytree': 0.7019851384104232, 'gamma': 0.30490418598132524, 'learning_rate': 0.47155069840053504, 'max_depth': 7.0, 'min_child_weight': 1.4238739990029843, 'n_estimators': 196.0, 'subsample': 0.7337719810662452}
No.17, R2: 0.714983, MSE: 0.089321, MAE: 0.261086, EV: 0.714983 {'colsample_bytree': 0.7015746909313576, 'gamma': 0.3210368604331502, 'learning_rate': 0.479190359138945, 'max_depth': 8.0, 'min_child_weight': 1.436738121228063, 'n_estimators': 197.0, 'subsample': 0.730961554648027}
No.18, R2: 0.639721, MSE: 0.112908, MAE: 0.276754, EV: 0.643475 {'colsample_bytree': 0.6991884874971955, 'gamma': 0.32784137752269626, 'learning_rate': 0.4865118838441479, 'max_depth': 6.0, 'min_child_weight': 1.4322716693134718, 'n_estimators': 194.0, 'subsample': 0.7443481189447753}
No.19, R2: 0.685829, MSE: 0.098458, MAE: 0.256783, EV: 0.688091 {'colsample_bytree': 0.6936848163610952, 'gamma': 0.32574930425959175, 'learning_rate': 0.4711112059951907, 'max_depth': 6.0, 'min_child_weight': 1.4347645135730176, 'n_estimators': 187.0, 'subsample': 0.7204737297855677}
No.20, R2: 0.690946, MSE: 0.096854, MAE: 0.269619, EV: 0.694719 {'colsample_bytree': 0.6951810493026045, 'gamma': 0.30717538716685566, 'learning_rate': 0.4879540116473912, 'max_depth': 7.0, 'min_child_weight': 1.4215436685900529, 'n_estimators': 198.0, 'subsample': 0.74628995855392}
No.21, R2: 0.752262, MSE: 0.077638, MAE: 0.252550, EV: 0.757915 {'colsample_bytree': 0.6866739040852163, 'gamma': 0.3019663003456331, 'learning_rate': 0.47550577412298856, 'max_depth': 8.0, 'min_child_weight': 1.4323438651603422, 'n_estimators': 190.0, 'subsample': 0.7279385465835344}
No.22, R2: 0.795316, MSE: 0.064146, MAE: 0.204541, EV: 0.795517 {'colsample_bytree': 0.687006445882188, 'gamma': 0.318469943539264, 'learning_rate': 0.47542360238652653, 'max_depth': 8.0, 'min_child_weight': 1.4399165438000439, 'n_estimators': 191.0, 'subsample': 0.7282856763492003}
No.23, R2: 0.672948, MSE: 0.102494, MAE: 0.263999, EV: 0.696881 {'colsample_bytree': 0.6859764346847332, 'gamma': 0.3188261781044719, 'learning_rate': 0.4748243610492186, 'max_depth': 8.0, 'min_child_weight': 1.4394619298052753, 'n_estimators': 191.0, 'subsample': 0.7301545753097382}
No.24, R2: 0.672970, MSE: 0.102488, MAE: 0.274693, EV: 0.705009 {'colsample_bytree': 0.6877802509638826, 'gamma': 0.31189002115889625, 'learning_rate': 0.47369334760795406, 'max_depth': 6.0, 'min_child_weight': 1.433464790346437, 'n_estimators': 191.0, 'subsample': 0.7379166907698588}
No.25, R2: 0.779810, MSE: 0.069005, MAE: 0.210233, EV: 0.780110 {'colsample_bytree': 0.6887587475176684, 'gamma': 0.3179858421665285, 'learning_rate': 0.4705183123930681, 'max_depth': 8.0, 'min_child_weight': 1.428153966277301, 'n_estimators': 188.0, 'subsample': 0.7281607365773284}
No.26, R2: 0.702811, MSE: 0.093136, MAE: 0.249583, EV: 0.730076 {'colsample_bytree': 0.6851332084869612, 'gamma': 0.32097262972257223, 'learning_rate': 0.47596844726826304, 'max_depth': 7.0, 'min_child_weight': 1.4383318709578927, 'n_estimators': 191.0, 'subsample': 0.7289802157435604}
No.27, R2: 0.509728, MSE: 0.153646, MAE: 0.325707, EV: 0.519508 {'colsample_bytree': 0.6878240697087475, 'gamma': 0.31013090402813487, 'learning_rate': 0.4743683770640079, 'max_depth': 8.0, 'min_child_weight': 1.4348511317564232, 'n_estimators': 183.0, 'subsample': 0.7357746551994844}
No.28, R2: 0.759638, MSE: 0.075327, MAE: 0.232791, EV: 0.769587 {'colsample_bytree': 0.6919577254892918, 'gamma': 0.3012715388448257, 'learning_rate': 0.47685666475751803, 'max_depth': 6.0, 'min_child_weight': 1.4388509217426209, 'n_estimators': 200.0, 'subsample': 0.7229962284464462}
No.29, R2: 0.667087, MSE: 0.104331, MAE: 0.280887, EV: 0.673260 {'colsample_bytree': 0.6892850835964068, 'gamma': 0.3051834817461887, 'learning_rate': 0.47285766733643336, 'max_depth': 7.0, 'min_child_weight': 1.4201475187054813, 'n_estimators': 196.0, 'subsample': 0.7262685845449991}
No.30, R2: 0.675799, MSE: 0.101601, MAE: 0.243740, EV: 0.703276 {'colsample_bytree': 0.685074564709891, 'gamma': 0.31268420156337284, 'learning_rate': 0.4722476006262748, 'max_depth': 7.0, 'min_child_weight': 1.4304187647659585, 'n_estimators': 186.0, 'subsample': 0.7384596270451685}
