No.1, R2: 0.714618, MSE: 0.089436, MAE: 0.248596, EV: 0.715178 {'colsample_bytree': 0.7003244911969616, 'gamma': 0.3146898988922439, 'learning_rate': 0.4763476341083596, 'max_depth': 7.0, 'min_child_weight': 1.4297735086321268, 'n_estimators': 199.0, 'subsample': 0.7432010851645815}
No.2, R2: 0.650206, MSE: 0.109622, MAE: 0.293566, EV: 0.666391 {'colsample_bytree': 0.6958797235471724, 'gamma': 0.31013507524097766, 'learning_rate': 0.4864779364754663, 'max_depth': 8.0, 'min_child_weight': 1.4263004619889437, 'n_estimators': 180.0, 'subsample': 0.7401595774027651}
No.3, R2: 0.756956, MSE: 0.076167, MAE: 0.229012, EV: 0.768904 {'colsample_bytree': 0.6955041895553927, 'gamma': 0.30959583849302624, 'learning_rate': 0.47439453103182677, 'max_depth': 7.0, 'min_child_weight': 1.4232908321591138, 'n_estimators': 182.0, 'subsample': 0.7356729368995565}
No.4, R2: 0.716300, MSE: 0.088908, MAE: 0.231158, EV: 0.725322 {'colsample_bytree': 0.6948514616416459, 'gamma': 0.3299409923136086, 'learning_rate': 0.4732384172226432, 'max_depth': 8.0, 'min_child_weight': 1.4255102916841005, 'n_estimators': 183.0, 'subsample': 0.7468975467702552}
No.5, R2: 0.716174, MSE: 0.088948, MAE: 0.260024, EV: 0.722727 {'colsample_bytree': 0.6954263347601499, 'gamma': 0.3185358595034349, 'learning_rate': 0.48995038383380907, 'max_depth': 6.0, 'min_child_weight': 1.4353425718807198, 'n_estimators': 187.0, 'subsample': 0.7479672767725188}
No.6, R2: 0.650205, MSE: 0.109622, MAE: 0.258770, EV: 0.655158 {'colsample_bytree': 0.6942424727314258, 'gamma': 0.31311022581092135, 'learning_rate': 0.4815002576743215, 'max_depth': 8.0, 'min_child_weight': 1.4376968438766868, 'n_estimators': 193.0, 'subsample': 0.742250111046362}
No.7, R2: 0.799830, MSE: 0.062731, MAE: 0.197894, EV: 0.812195 {'colsample_bytree': 0.7044214108740147, 'gamma': 0.30217630047530064, 'learning_rate': 0.48667918620508716, 'max_depth': 7.0, 'min_child_weight': 1.4331105898162408, 'n_estimators': 197.0, 'subsample': 0.7207075018689565}
No.8, R2: 0.721091, MSE: 0.087407, MAE: 0.235877, EV: 0.721191 {'colsample_bytree': 0.7045502890565223, 'gamma': 0.32911393532088073, 'learning_rate': 0.4897410594712708, 'max_depth': 7.0, 'min_child_weight': 1.4314710910859172, 'n_estimators': 186.0, 'subsample': 0.7219256846744229}
No.9, R2: 0.671709, MSE: 0.102883, MAE: 0.257887, EV: 0.685487 {'colsample_bytree': 0.688422800913388, 'gamma': 0.3225773834506127, 'learning_rate': 0.489315726506668, 'max_depth': 7.0, 'min_child_weight': 1.4394450496261362, 'n_estimators': 186.0, 'subsample': 0.7258685037598106}
No.10, R2: 0.723879, MSE: 0.086533, MAE: 0.252387, EV: 0.726770 {'colsample_bytree': 0.6877144419349506, 'gamma': 0.32878302535426895, 'learning_rate': 0.4857826994023175, 'max_depth': 8.0, 'min_child_weight': 1.421261106589616, 'n_estimators': 183.0, 'subsample': 0.7237250207523336}
No.11, R2: 0.794730, MSE: 0.064329, MAE: 0.202279, EV: 0.797262 {'colsample_bytree': 0.6942768208186444, 'gamma': 0.31607124918503626, 'learning_rate': 0.48415228346087835, 'max_depth': 7.0, 'min_child_weight': 1.427304188681896, 'n_estimators': 186.0, 'subsample': 0.7404720149323406}
No.12, R2: 0.717121, MSE: 0.088651, MAE: 0.246506, EV: 0.721171 {'colsample_bytree': 0.7004403195285778, 'gamma': 0.31149524124411326, 'learning_rate': 0.4870496997919811, 'max_depth': 8.0, 'min_child_weight': 1.425985177704415, 'n_estimators': 199.0, 'subsample': 0.7471903083133942}
No.13, R2: 0.751045, MSE: 0.078020, MAE: 0.226568, EV: 0.759112 {'colsample_bytree': 0.6992955109507992, 'gamma': 0.3283970743296904, 'learning_rate': 0.4812135304095747, 'max_depth': 7.0, 'min_child_weight': 1.4208656310996282, 'n_estimators': 182.0, 'subsample': 0.7357018253149956}
No.14, R2: 0.541001, MSE: 0.143845, MAE: 0.317199, EV: 0.545610 {'colsample_bytree': 0.6928589959241997, 'gamma': 0.3236132566077908, 'learning_rate': 0.4712077308578049, 'max_depth': 6.0, 'min_child_weight': 1.4206034789271225, 'n_estimators': 187.0, 'subsample': 0.726438892164961}
No.15, R2: 0.794576, MSE: 0.064378, MAE: 0.196195, EV: 0.796437 {'colsample_bytree': 0.6912942338497708, 'gamma': 0.3296362390892035, 'learning_rate': 0.47301568876249844, 'max_depth': 7.0, 'min_child_weight': 1.435115211351979, 'n_estimators': 181.0, 'subsample': 0.7380481328668874}
No.16, R2: 0.661501, MSE: 0.106082, MAE: 0.276534, EV: 0.690628 {'colsample_bytree': 0.6879836226407849, 'gamma': 0.3109368943686592, 'learning_rate': 0.48542590256693186, 'max_depth': 7.0, 'min_child_weight': 1.4236247848104713, 'n_estimators': 191.0, 'subsample': 0.7271970986478509}
No.17, R2: 0.658559, MSE: 0.107004, MAE: 0.263164, EV: 0.671823 {'colsample_bytree': 0.7001825502357072, 'gamma': 0.31257580904522847, 'learning_rate': 0.48153622547214214, 'max_depth': 8.0, 'min_child_weight': 1.4287107134027652, 'n_estimators': 198.0, 'subsample': 0.7403947083963935}
No.18, R2: 0.753912, MSE: 0.077121, MAE: 0.233860, EV: 0.754229 {'colsample_bytree': 0.6908401145033098, 'gamma': 0.30526066259151124, 'learning_rate': 0.4821473068269543, 'max_depth': 8.0, 'min_child_weight': 1.436813152800081, 'n_estimators': 185.0, 'subsample': 0.7478490397355778}
No.19, R2: 0.804712, MSE: 0.061201, MAE: 0.213578, EV: 0.814648 {'colsample_bytree': 0.6933191545881716, 'gamma': 0.3248983440588805, 'learning_rate': 0.4876278087872034, 'max_depth': 7.0, 'min_child_weight': 1.4313377410980308, 'n_estimators': 185.0, 'subsample': 0.738800370444906}
No.20, R2: 0.666531, MSE: 0.104506, MAE: 0.263431, EV: 0.683276 {'colsample_bytree': 0.6857555860191121, 'gamma': 0.3249088605118032, 'learning_rate': 0.4836735223981663, 'max_depth': 7.0, 'min_child_weight': 1.4226654581558282, 'n_estimators': 181.0, 'subsample': 0.7464377819903029}
No.21, R2: 0.636585, MSE: 0.113890, MAE: 0.278123, EV: 0.667995 {'colsample_bytree': 0.7033427122106333, 'gamma': 0.30067102774784366, 'learning_rate': 0.4773657622691946, 'max_depth': 6.0, 'min_child_weight': 1.432246230727382, 'n_estimators': 196.0, 'subsample': 0.7321148868473607}
No.22, R2: 0.605313, MSE: 0.123691, MAE: 0.296355, EV: 0.607735 {'colsample_bytree': 0.6977828190249785, 'gamma': 0.3027152785505527, 'learning_rate': 0.4882228499587135, 'max_depth': 6.0, 'min_child_weight': 1.4329303424086346, 'n_estimators': 190.0, 'subsample': 0.7311463409162444}
No.23, R2: 0.611832, MSE: 0.121648, MAE: 0.293516, EV: 0.657477 {'colsample_bytree': 0.697609713908918, 'gamma': 0.31871724348583796, 'learning_rate': 0.4793406931976857, 'max_depth': 6.0, 'min_child_weight': 1.4337314155373506, 'n_estimators': 194.0, 'subsample': 0.7317203926222187}
No.24, R2: 0.810412, MSE: 0.059415, MAE: 0.191121, EV: 0.821249 {'colsample_bytree': 0.7024739771310271, 'gamma': 0.3061439028290218, 'learning_rate': 0.4882035976662322, 'max_depth': 7.0, 'min_child_weight': 1.4306007855983556, 'n_estimators': 189.0, 'subsample': 0.7200576315494058}
No.25, R2: 0.661740, MSE: 0.106007, MAE: 0.263269, EV: 0.693917 {'colsample_bytree': 0.7022541063017181, 'gamma': 0.30668958687900516, 'learning_rate': 0.48420332002548216, 'max_depth': 7.0, 'min_child_weight': 1.4302838261259911, 'n_estimators': 189.0, 'subsample': 0.7288891244696251}
No.26, R2: 0.723836, MSE: 0.086547, MAE: 0.242245, EV: 0.728031 {'colsample_bytree': 0.6914455116407583, 'gamma': 0.3061539580997458, 'learning_rate': 0.48900528928116443, 'max_depth': 6.0, 'min_child_weight': 1.4289973619388023, 'n_estimators': 189.0, 'subsample': 0.7445036537954756}
No.27, R2: 0.764581, MSE: 0.073778, MAE: 0.210681, EV: 0.775214 {'colsample_bytree': 0.6897010478988207, 'gamma': 0.3208055662308944, 'learning_rate': 0.4792397933080077, 'max_depth': 7.0, 'min_child_weight': 1.4309799691438119, 'n_estimators': 192.0, 'subsample': 0.7376417139361314}
No.28, R2: 0.741752, MSE: 0.080932, MAE: 0.240096, EV: 0.756484 {'colsample_bytree': 0.6974717508653688, 'gamma': 0.32638906476229396, 'learning_rate': 0.48771596407402074, 'max_depth': 7.0, 'min_child_weight': 1.427673122786022, 'n_estimators': 184.0, 'subsample': 0.7496760433520887}
No.29, R2: 0.798431, MSE: 0.063169, MAE: 0.218129, EV: 0.805805 {'colsample_bytree': 0.6928067980990571, 'gamma': 0.31649866900085094, 'learning_rate': 0.4834468872141508, 'max_depth': 7.0, 'min_child_weight': 1.434760300598389, 'n_estimators': 188.0, 'subsample': 0.7338582393266978}
No.30, R2: 0.739464, MSE: 0.081649, MAE: 0.256534, EV: 0.751865 {'colsample_bytree': 0.6855179882909859, 'gamma': 0.3087320194964473, 'learning_rate': 0.47771120983817994, 'max_depth': 6.0, 'min_child_weight': 1.4295593707297751, 'n_estimators': 195.0, 'subsample': 0.7297255856050657}
No.31, R2: 0.760528, MSE: 0.075048, MAE: 0.215671, EV: 0.762242 {'colsample_bytree': 0.7018993377798102, 'gamma': 0.31436490692654523, 'learning_rate': 0.48834981367974156, 'max_depth': 7.0, 'min_child_weight': 1.439688186846604, 'n_estimators': 191.0, 'subsample': 0.7378059656619658}
No.32, R2: 0.730401, MSE: 0.084489, MAE: 0.251347, EV: 0.730648 {'colsample_bytree': 0.6965689475965855, 'gamma': 0.3044985849427191, 'learning_rate': 0.48584503076897084, 'max_depth': 8.0, 'min_child_weight': 1.4247427257759167, 'n_estimators': 188.0, 'subsample': 0.7436760563241126}
No.33, R2: 0.738140, MSE: 0.082064, MAE: 0.236465, EV: 0.767466 {'colsample_bytree': 0.693379743302676, 'gamma': 0.30822017117695627, 'learning_rate': 0.47632128912942223, 'max_depth': 7.0, 'min_child_weight': 1.4276599424862826, 'n_estimators': 184.0, 'subsample': 0.7342568335358584}
No.34, R2: 0.664278, MSE: 0.105211, MAE: 0.279619, EV: 0.707639 {'colsample_bytree': 0.698961479724242, 'gamma': 0.3209740876582346, 'learning_rate': 0.4850718610926483, 'max_depth': 6.0, 'min_child_weight': 1.436570653964083, 'n_estimators': 180.0, 'subsample': 0.741753199655248}
No.35, R2: 0.807025, MSE: 0.060476, MAE: 0.207460, EV: 0.813947 {'colsample_bytree': 0.6961032905882009, 'gamma': 0.30047089737171395, 'learning_rate': 0.4825476348419677, 'max_depth': 8.0, 'min_child_weight': 1.4313787439326024, 'n_estimators': 191.0, 'subsample': 0.7235987119529633}
No.36, R2: 0.784925, MSE: 0.067402, MAE: 0.224576, EV: 0.787465 {'colsample_bytree': 0.7022152138228912, 'gamma': 0.3000444113216243, 'learning_rate': 0.48007788868276846, 'max_depth': 8.0, 'min_child_weight': 1.430304474940626, 'n_estimators': 193.0, 'subsample': 0.7203955567006144}
No.37, R2: 0.776827, MSE: 0.069940, MAE: 0.226474, EV: 0.783173 {'colsample_bytree': 0.6963057108350664, 'gamma': 0.3032065294447186, 'learning_rate': 0.482396831472862, 'max_depth': 8.0, 'min_child_weight': 1.4339455225005138, 'n_estimators': 192.0, 'subsample': 0.7227203180912517}
No.38, R2: 0.775079, MSE: 0.070488, MAE: 0.227167, EV: 0.775911 {'colsample_bytree': 0.7036845975754962, 'gamma': 0.30031478069034395, 'learning_rate': 0.48004955951222067, 'max_depth': 8.0, 'min_child_weight': 1.4375895239822987, 'n_estimators': 195.0, 'subsample': 0.7245619117751356}
No.39, R2: 0.771397, MSE: 0.071642, MAE: 0.229187, EV: 0.783460 {'colsample_bytree': 0.7011282242440199, 'gamma': 0.3016612800035702, 'learning_rate': 0.47604544906497015, 'max_depth': 8.0, 'min_child_weight': 1.4324018287394276, 'n_estimators': 190.0, 'subsample': 0.7203463935563857}
No.40, R2: 0.746179, MSE: 0.079545, MAE: 0.236306, EV: 0.754482 {'colsample_bytree': 0.7047923316021091, 'gamma': 0.30432987967494074, 'learning_rate': 0.4739123111899359, 'max_depth': 8.0, 'min_child_weight': 1.4265996711351174, 'n_estimators': 193.0, 'subsample': 0.7221112223185066}
