No.1, R2: 0.728949, MSE: 0.084944, MAE: 0.254705, EV: 0.745624 {'colsample_bytree': 0.6939626764824155, 'gamma': 0.3145861177303577, 'learning_rate': 0.48154360674831437, 'max_depth': 6.0, 'min_child_weight': 1.423095930066042, 'n_estimators': 180.0, 'subsample': 0.7476265609377157}
No.2, R2: 0.701303, MSE: 0.093608, MAE: 0.252462, EV: 0.705388 {'colsample_bytree': 0.6886395922821099, 'gamma': 0.32310722480905174, 'learning_rate': 0.47262858614293607, 'max_depth': 7.0, 'min_child_weight': 1.4205280857741152, 'n_estimators': 182.0, 'subsample': 0.7449766604508776}
No.3, R2: 0.730767, MSE: 0.084375, MAE: 0.237283, EV: 0.734332 {'colsample_bytree': 0.7025495845935813, 'gamma': 0.3271249259752436, 'learning_rate': 0.48360891865985084, 'max_depth': 8.0, 'min_child_weight': 1.4394247222669876, 'n_estimators': 188.0, 'subsample': 0.7246954899253314}
No.4, R2: 0.732758, MSE: 0.083751, MAE: 0.243714, EV: 0.733402 {'colsample_bytree': 0.7007409281139163, 'gamma': 0.32807678886679575, 'learning_rate': 0.4720747390249864, 'max_depth': 7.0, 'min_child_weight': 1.4202923342451588, 'n_estimators': 197.0, 'subsample': 0.7236539235023628}
No.5, R2: 0.631658, MSE: 0.115434, MAE: 0.280269, EV: 0.653740 {'colsample_bytree': 0.6866106724108476, 'gamma': 0.31182639382872823, 'learning_rate': 0.4766764360915292, 'max_depth': 7.0, 'min_child_weight': 1.438964290516865, 'n_estimators': 185.0, 'subsample': 0.7226407691488929}
No.6, R2: 0.691006, MSE: 0.096835, MAE: 0.255215, EV: 0.691491 {'colsample_bytree': 0.7015001596421316, 'gamma': 0.30434445094808416, 'learning_rate': 0.48455590653703523, 'max_depth': 7.0, 'min_child_weight': 1.4350414398132958, 'n_estimators': 198.0, 'subsample': 0.7370102193118643}
No.7, R2: 0.643740, MSE: 0.111648, MAE: 0.273515, EV: 0.710440 {'colsample_bytree': 0.7021803939799982, 'gamma': 0.31152175524528863, 'learning_rate': 0.4701050081909375, 'max_depth': 6.0, 'min_child_weight': 1.429056701564784, 'n_estimators': 197.0, 'subsample': 0.7335540154786911}
No.8, R2: 0.770003, MSE: 0.072079, MAE: 0.217497, EV: 0.771838 {'colsample_bytree': 0.6982371450543082, 'gamma': 0.3129055452186586, 'learning_rate': 0.472623857375032, 'max_depth': 6.0, 'min_child_weight': 1.4324567805111985, 'n_estimators': 180.0, 'subsample': 0.7255662659085005}
No.9, R2: 0.671151, MSE: 0.103058, MAE: 0.274974, EV: 0.671356 {'colsample_bytree': 0.6973323400749665, 'gamma': 0.32629837224572733, 'learning_rate': 0.48119560902175196, 'max_depth': 7.0, 'min_child_weight': 1.4304055203044972, 'n_estimators': 184.0, 'subsample': 0.7372560353825385}
No.10, R2: 0.741087, MSE: 0.081141, MAE: 0.227337, EV: 0.744321 {'colsample_bytree': 0.692468532545685, 'gamma': 0.3232148908155867, 'learning_rate': 0.4802032207759374, 'max_depth': 7.0, 'min_child_weight': 1.4275515554189784, 'n_estimators': 199.0, 'subsample': 0.7422427631305574}
No.11, R2: 0.701203, MSE: 0.093640, MAE: 0.271977, EV: 0.702134 {'colsample_bytree': 0.6909412958597274, 'gamma': 0.3214990104950728, 'learning_rate': 0.48514766240746393, 'max_depth': 7.0, 'min_child_weight': 1.4260273354546809, 'n_estimators': 195.0, 'subsample': 0.7216433141134282}
