No.1, R2: 0.755584, MSE: 0.076597, MAE: 0.226507, EV: 0.757271 {'colsample_bytree': 0.6945922656477598, 'gamma': 0.3219187161225561, 'learning_rate': 0.4735998810010983, 'max_depth': 8.0, 'min_child_weight': 1.438484974669854, 'n_estimators': 184.0, 'subsample': 0.7252059567697415}
No.2, R2: 0.729085, MSE: 0.084902, MAE: 0.239068, EV: 0.736347 {'colsample_bytree': 0.6893402199043689, 'gamma': 0.3200670681684464, 'learning_rate': 0.47016340533621176, 'max_depth': 7.0, 'min_child_weight': 1.4209473504881056, 'n_estimators': 182.0, 'subsample': 0.7418895487180677}
No.3, R2: 0.669829, MSE: 0.103472, MAE: 0.267666, EV: 0.699730 {'colsample_bytree': 0.6850507769952902, 'gamma': 0.32495832143261694, 'learning_rate': 0.473727493201553, 'max_depth': 6.0, 'min_child_weight': 1.4233331098101585, 'n_estimators': 199.0, 'subsample': 0.7379911008228381}
No.4, R2: 0.720047, MSE: 0.087734, MAE: 0.250565, EV: 0.747680 {'colsample_bytree': 0.7044796459396984, 'gamma': 0.30773249211881964, 'learning_rate': 0.48107897479954764, 'max_depth': 7.0, 'min_child_weight': 1.4232552907947549, 'n_estimators': 186.0, 'subsample': 0.7352717737389657}
No.5, R2: 0.733276, MSE: 0.083588, MAE: 0.247367, EV: 0.733289 {'colsample_bytree': 0.6997865288384599, 'gamma': 0.3285425220096895, 'learning_rate': 0.48332503850932823, 'max_depth': 8.0, 'min_child_weight': 1.4341604669745984, 'n_estimators': 192.0, 'subsample': 0.7445898146910033}
No.6, R2: 0.659049, MSE: 0.106850, MAE: 0.274610, EV: 0.659399 {'colsample_bytree': 0.7029556316919842, 'gamma': 0.32155508023724333, 'learning_rate': 0.4774642526644365, 'max_depth': 8.0, 'min_child_weight': 1.4358916881789232, 'n_estimators': 191.0, 'subsample': 0.7391477204176271}
No.7, R2: 0.693163, MSE: 0.096159, MAE: 0.250515, EV: 0.720567 {'colsample_bytree': 0.6913477905672298, 'gamma': 0.3218153269778844, 'learning_rate': 0.47053558664613615, 'max_depth': 6.0, 'min_child_weight': 1.4309302428503194, 'n_estimators': 196.0, 'subsample': 0.730796282277538}
No.8, R2: 0.774442, MSE: 0.070687, MAE: 0.210076, EV: 0.776541 {'colsample_bytree': 0.70071788389434, 'gamma': 0.3289594036305004, 'learning_rate': 0.4786799080903095, 'max_depth': 7.0, 'min_child_weight': 1.4326616525982923, 'n_estimators': 194.0, 'subsample': 0.7284225033069746}
No.9, R2: 0.685528, MSE: 0.098552, MAE: 0.253894, EV: 0.710841 {'colsample_bytree': 0.6988325576137338, 'gamma': 0.315733042876658, 'learning_rate': 0.4859982309325097, 'max_depth': 6.0, 'min_child_weight': 1.4209637267548465, 'n_estimators': 186.0, 'subsample': 0.7359093867776344}
No.10, R2: 0.674804, MSE: 0.101913, MAE: 0.275881, EV: 0.686936 {'colsample_bytree': 0.6860930509249606, 'gamma': 0.31934425408227557, 'learning_rate': 0.48589764727575785, 'max_depth': 7.0, 'min_child_weight': 1.435365468824357, 'n_estimators': 184.0, 'subsample': 0.7458022573830406}
No.11, R2: 0.698102, MSE: 0.094612, MAE: 0.254591, EV: 0.706948 {'colsample_bytree': 0.6861280848283015, 'gamma': 0.3092571319530455, 'learning_rate': 0.47381353917922325, 'max_depth': 7.0, 'min_child_weight': 1.4261105902557467, 'n_estimators': 199.0, 'subsample': 0.7215157985064463}
No.12, R2: 0.665623, MSE: 0.104790, MAE: 0.265452, EV: 0.706988 {'colsample_bytree': 0.7018838372699682, 'gamma': 0.306279544676222, 'learning_rate': 0.47200441991217423, 'max_depth': 6.0, 'min_child_weight': 1.4307261571310896, 'n_estimators': 195.0, 'subsample': 0.7365573627645589}
No.13, R2: 0.662637, MSE: 0.105726, MAE: 0.275660, EV: 0.663198 {'colsample_bytree': 0.7023439939829811, 'gamma': 0.31768967568898715, 'learning_rate': 0.4808161117369158, 'max_depth': 8.0, 'min_child_weight': 1.4357693560797329, 'n_estimators': 193.0, 'subsample': 0.7392995540749538}
No.14, R2: 0.746208, MSE: 0.079536, MAE: 0.224120, EV: 0.765098 {'colsample_bytree': 0.6870878167342427, 'gamma': 0.3144340407683901, 'learning_rate': 0.4803311173886518, 'max_depth': 7.0, 'min_child_weight': 1.4384641612638642, 'n_estimators': 181.0, 'subsample': 0.7333718125531391}
No.15, R2: 0.785769, MSE: 0.067138, MAE: 0.212710, EV: 0.797848 {'colsample_bytree': 0.6996533738094137, 'gamma': 0.31752361345512614, 'learning_rate': 0.47042181224399526, 'max_depth': 7.0, 'min_child_weight': 1.4234966527339, 'n_estimators': 192.0, 'subsample': 0.73269210158366}
No.16, R2: 0.687522, MSE: 0.097927, MAE: 0.276345, EV: 0.696519 {'colsample_bytree': 0.6899696128184472, 'gamma': 0.30002472402807845, 'learning_rate': 0.47317334371435815, 'max_depth': 6.0, 'min_child_weight': 1.430134965649557, 'n_estimators': 182.0, 'subsample': 0.7478036567208401}
No.17, R2: 0.771777, MSE: 0.071523, MAE: 0.210551, EV: 0.780089 {'colsample_bytree': 0.6875550837792644, 'gamma': 0.31762441011864884, 'learning_rate': 0.4836714435076298, 'max_depth': 7.0, 'min_child_weight': 1.4244081859101487, 'n_estimators': 194.0, 'subsample': 0.7459413283376257}
No.18, R2: 0.661650, MSE: 0.106035, MAE: 0.277965, EV: 0.680389 {'colsample_bytree': 0.6924994800422805, 'gamma': 0.30922489159049854, 'learning_rate': 0.48400342888405384, 'max_depth': 7.0, 'min_child_weight': 1.4261880835224239, 'n_estimators': 195.0, 'subsample': 0.7297264063704609}
No.19, R2: 0.726867, MSE: 0.085597, MAE: 0.250046, EV: 0.737719 {'colsample_bytree': 0.7002554472038388, 'gamma': 0.3029612819454169, 'learning_rate': 0.4746481067040112, 'max_depth': 8.0, 'min_child_weight': 1.438318877191097, 'n_estimators': 185.0, 'subsample': 0.7455193222307932}
No.20, R2: 0.723920, MSE: 0.086521, MAE: 0.239256, EV: 0.739776 {'colsample_bytree': 0.6910974516363004, 'gamma': 0.3187946497360329, 'learning_rate': 0.4737156688261975, 'max_depth': 6.0, 'min_child_weight': 1.4296930971176798, 'n_estimators': 196.0, 'subsample': 0.7335373400983526}
No.21, R2: 0.781897, MSE: 0.068351, MAE: 0.216703, EV: 0.785051 {'colsample_bytree': 0.6969326439260806, 'gamma': 0.3297148998969667, 'learning_rate': 0.477167125010413, 'max_depth': 7.0, 'min_child_weight': 1.4326036912528313, 'n_estimators': 188.0, 'subsample': 0.7254913224260412}
No.22, R2: 0.694527, MSE: 0.095732, MAE: 0.267824, EV: 0.696040 {'colsample_bytree': 0.6965033033678927, 'gamma': 0.32714982676356236, 'learning_rate': 0.48911334211649543, 'max_depth': 7.0, 'min_child_weight': 1.4287131897042098, 'n_estimators': 189.0, 'subsample': 0.7208295098278287}
