No.1, R2: 0.725000, MSE: 0.086182, MAE: 0.242048, EV: 0.731129 {'colsample_bytree': 0.7003563564224038, 'gamma': 0.31023357085373027, 'learning_rate': 0.4840697467301176, 'max_depth': 8.0, 'min_child_weight': 1.433958324116483, 'n_estimators': 199.0, 'subsample': 0.7391933126739907}
No.2, R2: 0.659584, MSE: 0.106683, MAE: 0.289678, EV: 0.691958 {'colsample_bytree': 0.6982064822188133, 'gamma': 0.305035647748962, 'learning_rate': 0.4890353428002081, 'max_depth': 7.0, 'min_child_weight': 1.4308349671668155, 'n_estimators': 187.0, 'subsample': 0.7301858935293731}
No.3, R2: 0.805675, MSE: 0.060900, MAE: 0.197135, EV: 0.806136 {'colsample_bytree': 0.6869089276073034, 'gamma': 0.32582336427746633, 'learning_rate': 0.48787037395179983, 'max_depth': 7.0, 'min_child_weight': 1.4268618716938046, 'n_estimators': 193.0, 'subsample': 0.7269407292715042}
No.4, R2: 0.763049, MSE: 0.074258, MAE: 0.226392, EV: 0.784640 {'colsample_bytree': 0.7031632384986198, 'gamma': 0.31621900470192094, 'learning_rate': 0.4812249718363987, 'max_depth': 7.0, 'min_child_weight': 1.4385896645708203, 'n_estimators': 184.0, 'subsample': 0.7494792948400184}
No.5, R2: 0.655993, MSE: 0.107808, MAE: 0.257341, EV: 0.673119 {'colsample_bytree': 0.6888109030941438, 'gamma': 0.3086973388976997, 'learning_rate': 0.48153572278706136, 'max_depth': 6.0, 'min_child_weight': 1.4256005640661686, 'n_estimators': 197.0, 'subsample': 0.7323683909401346}
No.6, R2: 0.694718, MSE: 0.095672, MAE: 0.249760, EV: 0.706951 {'colsample_bytree': 0.7049365186780148, 'gamma': 0.3172159959612111, 'learning_rate': 0.4886456593225497, 'max_depth': 7.0, 'min_child_weight': 1.4246327543374502, 'n_estimators': 195.0, 'subsample': 0.7228501930595339}
No.7, R2: 0.701895, MSE: 0.093423, MAE: 0.249448, EV: 0.740360 {'colsample_bytree': 0.6852630007100222, 'gamma': 0.30922766789035977, 'learning_rate': 0.48358197359171806, 'max_depth': 6.0, 'min_child_weight': 1.422920364683997, 'n_estimators': 197.0, 'subsample': 0.7328150073545732}
No.8, R2: 0.644531, MSE: 0.111400, MAE: 0.263377, EV: 0.645060 {'colsample_bytree': 0.6990320762786221, 'gamma': 0.30088272103044345, 'learning_rate': 0.4734836426731121, 'max_depth': 6.0, 'min_child_weight': 1.4347773355554327, 'n_estimators': 186.0, 'subsample': 0.7253434457221732}
No.9, R2: 0.701089, MSE: 0.093675, MAE: 0.245872, EV: 0.714408 {'colsample_bytree': 0.7000573322698734, 'gamma': 0.31134608092957444, 'learning_rate': 0.47754002390475625, 'max_depth': 7.0, 'min_child_weight': 1.425658557108127, 'n_estimators': 194.0, 'subsample': 0.730054623335287}
No.10, R2: 0.836266, MSE: 0.051312, MAE: 0.174906, EV: 0.842524 {'colsample_bytree': 0.6994934193917938, 'gamma': 0.3291220351867778, 'learning_rate': 0.4857246664905918, 'max_depth': 7.0, 'min_child_weight': 1.433128470813305, 'n_estimators': 190.0, 'subsample': 0.7358233590913664}
No.11, R2: 0.732175, MSE: 0.083933, MAE: 0.250969, EV: 0.732215 {'colsample_bytree': 0.6918806041121873, 'gamma': 0.3121557927175311, 'learning_rate': 0.4716016240118603, 'max_depth': 8.0, 'min_child_weight': 1.4239026235240388, 'n_estimators': 183.0, 'subsample': 0.7446809700841954}
No.12, R2: 0.710963, MSE: 0.090581, MAE: 0.249935, EV: 0.716349 {'colsample_bytree': 0.6971784295201733, 'gamma': 0.3261197744117958, 'learning_rate': 0.47371329528744643, 'max_depth': 8.0, 'min_child_weight': 1.4352376214582145, 'n_estimators': 198.0, 'subsample': 0.7456841774897154}
No.13, R2: 0.615436, MSE: 0.120518, MAE: 0.274687, EV: 0.619079 {'colsample_bytree': 0.6906980585710767, 'gamma': 0.3233773575133763, 'learning_rate': 0.4812441363635078, 'max_depth': 6.0, 'min_child_weight': 1.4349750911888806, 'n_estimators': 192.0, 'subsample': 0.7488399185601998}
No.14, R2: 0.680363, MSE: 0.100171, MAE: 0.271190, EV: 0.712223 {'colsample_bytree': 0.7042057792868066, 'gamma': 0.3033940814147665, 'learning_rate': 0.4829744901726146, 'max_depth': 7.0, 'min_child_weight': 1.432342355802893, 'n_estimators': 191.0, 'subsample': 0.7289103827009819}
No.15, R2: 0.631525, MSE: 0.115476, MAE: 0.290504, EV: 0.657418 {'colsample_bytree': 0.7006758941713209, 'gamma': 0.3145461611001928, 'learning_rate': 0.48165406457881865, 'max_depth': 8.0, 'min_child_weight': 1.430600992831598, 'n_estimators': 181.0, 'subsample': 0.7286876532003607}
No.16, R2: 0.671977, MSE: 0.102799, MAE: 0.255819, EV: 0.677511 {'colsample_bytree': 0.7043189619784448, 'gamma': 0.31224871058369763, 'learning_rate': 0.47852446411856786, 'max_depth': 6.0, 'min_child_weight': 1.435385653991867, 'n_estimators': 197.0, 'subsample': 0.7497236740985325}
No.17, R2: 0.712827, MSE: 0.089997, MAE: 0.248896, EV: 0.716920 {'colsample_bytree': 0.7005800058878845, 'gamma': 0.30142427554043627, 'learning_rate': 0.47789044349978477, 'max_depth': 6.0, 'min_child_weight': 1.4396928923930332, 'n_estimators': 187.0, 'subsample': 0.7237913078915783}
No.18, R2: 0.601327, MSE: 0.124940, MAE: 0.282318, EV: 0.618510 {'colsample_bytree': 0.6893407553368197, 'gamma': 0.31164524120533726, 'learning_rate': 0.4852204973392492, 'max_depth': 8.0, 'min_child_weight': 1.4357753650842007, 'n_estimators': 190.0, 'subsample': 0.7369914185634128}
No.19, R2: 0.707600, MSE: 0.091635, MAE: 0.255357, EV: 0.737526 {'colsample_bytree': 0.6975380484852196, 'gamma': 0.32518035056537675, 'learning_rate': 0.4758983344979382, 'max_depth': 6.0, 'min_child_weight': 1.4329229056807031, 'n_estimators': 196.0, 'subsample': 0.7445475628594579}
No.20, R2: 0.702029, MSE: 0.093381, MAE: 0.252746, EV: 0.705344 {'colsample_bytree': 0.6969105718190838, 'gamma': 0.3238413664616832, 'learning_rate': 0.479538407619303, 'max_depth': 8.0, 'min_child_weight': 1.4265618802910582, 'n_estimators': 187.0, 'subsample': 0.7233654152812845}
No.21, R2: 0.764114, MSE: 0.073924, MAE: 0.227191, EV: 0.764579 {'colsample_bytree': 0.6938844831849764, 'gamma': 0.32986819246301247, 'learning_rate': 0.486916164551235, 'max_depth': 7.0, 'min_child_weight': 1.4279823908608542, 'n_estimators': 193.0, 'subsample': 0.7400810114028905}
No.22, R2: 0.793279, MSE: 0.064784, MAE: 0.200316, EV: 0.795489 {'colsample_bytree': 0.6946777700699027, 'gamma': 0.32994690563224316, 'learning_rate': 0.4867178803808198, 'max_depth': 7.0, 'min_child_weight': 1.420566595970857, 'n_estimators': 189.0, 'subsample': 0.7351496083247123}
No.23, R2: 0.764428, MSE: 0.073826, MAE: 0.214222, EV: 0.764443 {'colsample_bytree': 0.687298263865057, 'gamma': 0.3208699003245341, 'learning_rate': 0.48703819183502584, 'max_depth': 7.0, 'min_child_weight': 1.428685555617996, 'n_estimators': 190.0, 'subsample': 0.7206016946904511}
No.24, R2: 0.802138, MSE: 0.062008, MAE: 0.200634, EV: 0.802249 {'colsample_bytree': 0.7025323411269915, 'gamma': 0.3277234758263157, 'learning_rate': 0.4898074853344905, 'max_depth': 7.0, 'min_child_weight': 1.421558244222463, 'n_estimators': 193.0, 'subsample': 0.7265765997896475}
No.25, R2: 0.718943, MSE: 0.088080, MAE: 0.257289, EV: 0.724445 {'colsample_bytree': 0.6930410068640314, 'gamma': 0.3207574276288904, 'learning_rate': 0.4855483777121142, 'max_depth': 7.0, 'min_child_weight': 1.437285181895666, 'n_estimators': 189.0, 'subsample': 0.720151414254102}
No.26, R2: 0.749613, MSE: 0.078469, MAE: 0.231881, EV: 0.759516 {'colsample_bytree': 0.6852613584757556, 'gamma': 0.3280563536961935, 'learning_rate': 0.48999113650728093, 'max_depth': 7.0, 'min_child_weight': 1.4289343624675124, 'n_estimators': 200.0, 'subsample': 0.7406050715883531}
No.27, R2: 0.814894, MSE: 0.058010, MAE: 0.176093, EV: 0.819889 {'colsample_bytree': 0.6955048326526367, 'gamma': 0.3205081747498443, 'learning_rate': 0.48814454862530116, 'max_depth': 7.0, 'min_child_weight': 1.4322114235718995, 'n_estimators': 192.0, 'subsample': 0.733311555670815}
No.28, R2: 0.747331, MSE: 0.079184, MAE: 0.238199, EV: 0.749762 {'colsample_bytree': 0.6960762446879074, 'gamma': 0.3197837653762676, 'learning_rate': 0.4856786448204199, 'max_depth': 7.0, 'min_child_weight': 1.4317959988285338, 'n_estimators': 185.0, 'subsample': 0.7368512401530637}
No.29, R2: 0.708904, MSE: 0.091226, MAE: 0.246563, EV: 0.721255 {'colsample_bytree': 0.6957205170633094, 'gamma': 0.3181251277391657, 'learning_rate': 0.48437036768818925, 'max_depth': 8.0, 'min_child_weight': 1.4370503592506472, 'n_estimators': 188.0, 'subsample': 0.7420882218912394}
No.30, R2: 0.802609, MSE: 0.061860, MAE: 0.214433, EV: 0.814726 {'colsample_bytree': 0.7015425200454658, 'gamma': 0.3226855118664246, 'learning_rate': 0.4882391367049548, 'max_depth': 7.0, 'min_child_weight': 1.4335106656140695, 'n_estimators': 191.0, 'subsample': 0.7377636938843316}
No.31, R2: 0.833403, MSE: 0.052210, MAE: 0.184245, EV: 0.838766 {'colsample_bytree': 0.6924023630522986, 'gamma': 0.3145451139800939, 'learning_rate': 0.4898999755687606, 'max_depth': 7.0, 'min_child_weight': 1.431327332597438, 'n_estimators': 181.0, 'subsample': 0.7338804903060206}
No.32, R2: 0.604846, MSE: 0.123837, MAE: 0.295388, EV: 0.630317 {'colsample_bytree': 0.6987851119775967, 'gamma': 0.30604145292641005, 'learning_rate': 0.48936092308313456, 'max_depth': 8.0, 'min_child_weight': 1.430930382165755, 'n_estimators': 184.0, 'subsample': 0.7351598923698545}
No.33, R2: 0.693437, MSE: 0.096074, MAE: 0.255950, EV: 0.696981 {'colsample_bytree': 0.6920603323982134, 'gamma': 0.3143262865811224, 'learning_rate': 0.4826604741002447, 'max_depth': 7.0, 'min_child_weight': 1.4296960464110002, 'n_estimators': 181.0, 'subsample': 0.7424939415075418}
No.34, R2: 0.618359, MSE: 0.119602, MAE: 0.283426, EV: 0.657102 {'colsample_bytree': 0.6905687319985534, 'gamma': 0.30697394613177076, 'learning_rate': 0.48417983515936436, 'max_depth': 6.0, 'min_child_weight': 1.4367800206710062, 'n_estimators': 182.0, 'subsample': 0.7324337853521193}
No.35, R2: 0.689010, MSE: 0.097461, MAE: 0.265541, EV: 0.697230 {'colsample_bytree': 0.69397045569184, 'gamma': 0.31848718377013735, 'learning_rate': 0.4863151934803373, 'max_depth': 7.0, 'min_child_weight': 1.438880837608306, 'n_estimators': 185.0, 'subsample': 0.7303015712682802}
No.36, R2: 0.813878, MSE: 0.058329, MAE: 0.195866, EV: 0.813881 {'colsample_bytree': 0.7027272803536981, 'gamma': 0.3153664338944703, 'learning_rate': 0.4875202584620602, 'max_depth': 7.0, 'min_child_weight': 1.4342328501174197, 'n_estimators': 188.0, 'subsample': 0.7385002031990632}
No.37, R2: 0.582331, MSE: 0.130893, MAE: 0.293066, EV: 0.607295 {'colsample_bytree': 0.6866891762334949, 'gamma': 0.31396898181433675, 'learning_rate': 0.48930488585057696, 'max_depth': 8.0, 'min_child_weight': 1.4314063730980746, 'n_estimators': 195.0, 'subsample': 0.7343133791207996}
No.38, R2: 0.661076, MSE: 0.106215, MAE: 0.257362, EV: 0.677842 {'colsample_bytree': 0.6884774276878914, 'gamma': 0.30830230757795585, 'learning_rate': 0.48016276000181213, 'max_depth': 6.0, 'min_child_weight': 1.4273268920321514, 'n_estimators': 180.0, 'subsample': 0.7308726178107561}
No.39, R2: 0.752995, MSE: 0.077409, MAE: 0.210627, EV: 0.753816 {'colsample_bytree': 0.6994710763883352, 'gamma': 0.3169580724985773, 'learning_rate': 0.4846054368389961, 'max_depth': 7.0, 'min_child_weight': 1.4296535355359286, 'n_estimators': 183.0, 'subsample': 0.7472146245969301}
No.40, R2: 0.780868, MSE: 0.068674, MAE: 0.210720, EV: 0.785300 {'colsample_bytree': 0.6981464729193428, 'gamma': 0.30966589627316465, 'learning_rate': 0.47643961835555776, 'max_depth': 7.0, 'min_child_weight': 1.4336267795358053, 'n_estimators': 186.0, 'subsample': 0.7361101286008545}
No.41, R2: 0.586606, MSE: 0.129553, MAE: 0.283801, EV: 0.600589 {'colsample_bytree': 0.6923050732163077, 'gamma': 0.3034240771446887, 'learning_rate': 0.4823875724306447, 'max_depth': 6.0, 'min_child_weight': 1.4381070656414519, 'n_estimators': 194.0, 'subsample': 0.7393981247124962}
No.42, R2: 0.642947, MSE: 0.111897, MAE: 0.277287, EV: 0.674475 {'colsample_bytree': 0.6905011197695579, 'gamma': 0.3130066665061256, 'learning_rate': 0.48855875602747484, 'max_depth': 8.0, 'min_child_weight': 1.4261279779746232, 'n_estimators': 199.0, 'subsample': 0.7275381169283943}
